description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,24781,6318
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,41884,9397
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,26378,5343
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,21879,4451
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,20744,3046
CELLULITIS W/O MCC,603,18134,4360
CHEST PAIN,313,18457,2915
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,20732,5082
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,30395,6283
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,16240,3741
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,32254,10493
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,30630,5725
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,32768,6211
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,23956,3822
G.I. HEMORRHAGE W CC,378,24971,5443
G.I. HEMORRHAGE W/O CC/MCC,379,17549,3740
G.I. OBSTRUCTION W CC,389,24160,4931
HEART FAILURE & SHOCK W CC,292,22914,5337
HEART FAILURE & SHOCK W MCC,291,32429,7642
HEART FAILURE & SHOCK W/O CC/MCC,293,16509,3660
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,42186,10028
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,27095,6116
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,19308,4129
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,49258,11191
MEDICAL BACK PROBLEMS W/O MCC,552,17666,4312
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,25371,6006
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,17959,3686
PULMONARY EDEMA & RESPIRATORY FAILURE,189,25748,6839
RED BLOOD CELL DISORDERS W/O MCC,812,21871,4235
RENAL FAILURE W CC,683,24856,5506
RENAL FAILURE W MCC,682,43849,8548
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,31564,7374
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,46923,11576
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,33907,12026
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,44000,10169
SIGNS & SYMPTOMS W/O MCC,948,21741,3570
SIMPLE PNEUMONIA & PLEURISY W CC,194,22619,5242
SIMPLE PNEUMONIA & PLEURISY W MCC,193,36520,7509
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,15025,3766
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,53182,17744
SYNCOPE & COLLAPSE,312,24777,3811
TRANSIENT ISCHEMIA,069,29744,3888
