description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,25204,9788
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,11764,3439
BRONCHITIS & ASTHMA W CC/MCC,202,15440,4929
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,15057,4841
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,22192,7639
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11497,3724
CELLULITIS W MCC,602,20028,7629
CELLULITIS W/O MCC,603,16496,4903
CERVICAL SPINAL FUSION W/O CC/MCC,473,60010,11639
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,14022,5696
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,15481,6575
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11662,4043
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,40201,10956
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,26320,6198
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,20653,5107
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,24478,6474
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,17849,4397
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,33543,5709
FRACTURES OF HIP & PELVIS W/O MCC,536,14782,3894
G.I. HEMORRHAGE W CC,378,18336,6174
G.I. HEMORRHAGE W MCC,377,25467,9410
G.I. OBSTRUCTION W CC,389,23021,5188
G.I. OBSTRUCTION W/O CC/MCC,390,15860,4681
HEART FAILURE & SHOCK W CC,292,15405,5754
HEART FAILURE & SHOCK W MCC,291,22774,8458
HEART FAILURE & SHOCK W/O CC/MCC,293,12256,3841
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,42336,11189
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,54826,15989
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,35383,10902
HYPERTENSION W/O MCC,305,13393,4560
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,99504,32319
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,24606,6306
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,39275,10622
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,21770,4596
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,16035,6638
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,14126,4720
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,51138,11983
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,16169,7192
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,50054,12747
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,69521,14744
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,85391,30958
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,21919,6336
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,11883,3856
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,37490,10832
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,21389,5495
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,17119,5529
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,19624,8502
OTHER VASCULAR PROCEDURES W CC,253,53461,13811
OTHER VASCULAR PROCEDURES W MCC,252,61863,19728
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,85581,26933
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,68054,13519
PERIPHERAL VASCULAR DISORDERS W CC,300,14664,5480
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,26077,9760
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,12870,3500
PULMONARY EDEMA & RESPIRATORY FAILURE,189,19911,7179
RED BLOOD CELL DISORDERS W MCC,811,19227,7030
RED BLOOD CELL DISORDERS W/O MCC,812,12663,4461
RENAL FAILURE W CC,683,17829,5634
RENAL FAILURE W MCC,682,26510,8996
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,27130,8092
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,27686,11056
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,65734,27306
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,36834,12894
SEIZURES W/O MCC,101,17033,4270
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,30304,10892
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,18390,6433
SIMPLE PNEUMONIA & PLEURISY W CC,194,16504,5644
SIMPLE PNEUMONIA & PLEURISY W MCC,193,23912,8426
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,13067,3978
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,110444,28948
SYNCOPE & COLLAPSE,312,15815,4020
TRANSIENT ISCHEMIA,069,16551,4098
