description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,39506,7218
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,46139,10647
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,35611,5975
BRONCHITIS & ASTHMA W CC/MCC,202,29193,5076
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,23524,5013
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,48790,7454
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,19669,3637
CELLULITIS W/O MCC,603,23855,4996
CHEST PAIN,313,25812,3669
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,30231,5788
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,49249,7067
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,21226,4351
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,37022,6291
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,34738,5563
DIABETES W CC,638,28381,4982
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,43111,7468
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,30042,4459
FRACTURES OF HIP & PELVIS W/O MCC,536,17632,4114
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,21361,4319
G.I. HEMORRHAGE W CC,378,34256,6213
G.I. HEMORRHAGE W MCC,377,55998,10573
G.I. HEMORRHAGE W/O CC/MCC,379,22184,4453
G.I. OBSTRUCTION W CC,389,32984,5505
G.I. OBSTRUCTION W/O CC/MCC,390,26968,3842
HEART FAILURE & SHOCK W CC,292,30193,6111
HEART FAILURE & SHOCK W MCC,291,38183,8865
HEART FAILURE & SHOCK W/O CC/MCC,293,20206,4274
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,54705,11014
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,124688,32022
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,30273,6969
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,46569,10430
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,28358,5079
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,28830,7193
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,24169,4537
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,64139,10238
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,44409,7044
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,103018,19046
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,46236,7392
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,65443,12845
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,88275,15656
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,170210,34844
MEDICAL BACK PROBLEMS W/O MCC,552,24877,4919
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,35064,6987
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,24315,4194
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,53186,11343
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,35184,5986
OTHER VASCULAR PROCEDURES W CC,253,79635,14481
OTHER VASCULAR PROCEDURES W MCC,252,91735,20832
PERIPHERAL VASCULAR DISORDERS W CC,300,39641,5900
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,56951,12492
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,21812,3769
PULMONARY EDEMA & RESPIRATORY FAILURE,189,43000,7716
PULMONARY EMBOLISM W/O MCC,176,34999,6745
RED BLOOD CELL DISORDERS W MCC,811,34957,7468
RED BLOOD CELL DISORDERS W/O MCC,812,21089,4797
RENAL FAILURE W CC,683,29441,6098
RENAL FAILURE W MCC,682,59409,11217
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,45071,8606
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,62973,12124
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,65232,13839
SEIZURES W/O MCC,101,28236,4602
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,60280,11748
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,39070,6817
SIGNS & SYMPTOMS W/O MCC,948,18863,4150
SIMPLE PNEUMONIA & PLEURISY W CC,194,34426,6138
SIMPLE PNEUMONIA & PLEURISY W MCC,193,61409,8961
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,22222,4227
SYNCOPE & COLLAPSE,312,22764,4321
TRANSIENT ISCHEMIA,069,20375,4412
