description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,12400,5294
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11039,4345
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,16530,4880
G.I. HEMORRHAGE W CC,378,17173,6563
G.I. HEMORRHAGE W MCC,377,18915,11089
G.I. OBSTRUCTION W CC,389,19567,5769
HEART FAILURE & SHOCK W CC,292,13446,5830
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,32079,12974
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,19144,9991
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13462,5434
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,33760,15947
RED BLOOD CELL DISORDERS W/O MCC,812,14082,5338
RENAL FAILURE W CC,683,14682,5895
RENAL FAILURE W MCC,682,17701,11142
RENAL FAILURE W/O CC/MCC,684,10724,3976
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,33379,15328
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,23685,11536
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,14934,6827
SIMPLE PNEUMONIA & PLEURISY W CC,194,16564,5541
