description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,23971,10838
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,66175,25058
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,10014,6040
ATHEROSCLEROSIS W/O MCC,303,7408,5530
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,16821,7729
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8314,5511
CELLULITIS W/O MCC,603,17863,7898
CERVICAL SPINAL FUSION W/O CC/MCC,473,81524,23115
CHEST PAIN,313,10826,5091
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,21491,8962
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,26088,11003
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,15887,6688
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,27869,11460
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,14264,7974
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,25683,9312
DIABETES W CC,638,13957,7558
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,21980,9414
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,11378,10758
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,13107,6777
FRACTURES OF HIP & PELVIS W/O MCC,536,13588,6600
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,12192,6028
G.I. HEMORRHAGE W CC,378,36402,10385
G.I. HEMORRHAGE W MCC,377,45806,19165
G.I. HEMORRHAGE W/O CC/MCC,379,10130,6705
G.I. OBSTRUCTION W CC,389,21114,8671
G.I. OBSTRUCTION W/O CC/MCC,390,11317,5908
HEART FAILURE & SHOCK W CC,292,14484,9413
HEART FAILURE & SHOCK W MCC,291,26814,14588
HEART FAILURE & SHOCK W/O CC/MCC,293,11250,6351
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,52510,17126
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,128571,54569
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,22379,10961
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,33664,17471
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,13567,7807
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,19717,11244
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13505,7496
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,76557,28597
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,58958,22637
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,66754,26678
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,116149,55148
MEDICAL BACK PROBLEMS W/O MCC,552,17337,7608
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,17032,10552
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13440,6412
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,17362,9054
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,35430,21062
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,18417,9208
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,44270,14544
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,73624,29038
OTHER VASCULAR PROCEDURES W MCC,252,76341,29511
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,42653,19660
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,120089,36911
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,65653,19239
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,72508,24690
PERIPHERAL VASCULAR DISORDERS W CC,300,25758,10554
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,106687,30387
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,81281,22507
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,14512,5807
PSYCHOSES,885,13767,8545
PULMONARY EDEMA & RESPIRATORY FAILURE,189,28051,12306
PULMONARY EMBOLISM W/O MCC,176,17014,9919
RED BLOOD CELL DISORDERS W MCC,811,48625,18692
RED BLOOD CELL DISORDERS W/O MCC,812,12902,7535
RENAL FAILURE W CC,683,15170,9626
RENAL FAILURE W MCC,682,22751,15797
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,34841,12565
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,35778,19239
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,100996,47850
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,44131,21195
SEIZURES W/O MCC,101,22077,7483
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,121425,64669
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,33282,17527
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,24198,12006
SIGNS & SYMPTOMS W/O MCC,948,12148,6295
SIMPLE PNEUMONIA & PLEURISY W CC,194,18338,9771
SIMPLE PNEUMONIA & PLEURISY W MCC,193,24135,13472
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,10469,6584
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,116369,48062
SYNCOPE & COLLAPSE,312,11912,6642
TRANSIENT ISCHEMIA,069,12136,6977
