description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,21941,5466
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,17753,3782
CELLULITIS W/O MCC,603,19667,5152
CHEST PAIN,313,11154,3608
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,25645,6382
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,34126,7681
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,22937,4741
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,20204,4794
G.I. HEMORRHAGE W/O CC/MCC,379,23181,4772
HEART FAILURE & SHOCK W CC,292,25554,6183
HEART FAILURE & SHOCK W MCC,291,41159,9176
HEART FAILURE & SHOCK W/O CC/MCC,293,16946,4457
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,23579,6908
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,22495,4970
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,80662,14612
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13557,4499
RED BLOOD CELL DISORDERS W/O MCC,812,16481,5319
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,62113,13285
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,36274,12366
SIMPLE PNEUMONIA & PLEURISY W CC,194,33643,6459
SIMPLE PNEUMONIA & PLEURISY W MCC,193,45569,9712
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,21399,4577
SYNCOPE & COLLAPSE,312,18529,4592
