description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,23193,5140
CELLULITIS W/O MCC,603,24270,5265
CHEST PAIN,313,14100,3490
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,25835,8516
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,23809,7394
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,17750,4605
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,18442,4718
G.I. HEMORRHAGE W CC,378,23590,6906
G.I. OBSTRUCTION W CC,389,24930,5963
HEART FAILURE & SHOCK W CC,292,24601,6349
HEART FAILURE & SHOCK W MCC,291,31688,9510
HEART FAILURE & SHOCK W/O CC/MCC,293,12770,4371
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,19164,7286
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,18131,4994
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,17807,6889
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,20686,4766
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,17460,4291
RED BLOOD CELL DISORDERS W/O MCC,812,19374,5218
RENAL FAILURE W CC,683,27675,6522
RENAL FAILURE W MCC,682,25964,9921
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,45610,14444
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,54229,13278
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,32633,7267
SIMPLE PNEUMONIA & PLEURISY W CC,194,27478,6451
SYNCOPE & COLLAPSE,312,15519,4576
