city,avgCoveredCharges,averagePayments
ADEL,10242,5144
ALBANY,22681,7008
ATHENS,19785,5932
ATLANTA,20868,6816
AUGUSTA,29075,7103
AUSTELL,19390,6327
BAXLEY,12807,5775
BLAIRSVILLE,9514,5773
BLUE RIDGE,25645,6382
BRUNSWICK,23921,8217
CALHOUN,20910,5789
CANTON,24176,5633
CARROLLTON,14298,6985
CARTERSVILLE,37274,5892
CHATSWORTH,15750,5057
CLAXTON,17019,5803
COLUMBUS,17143,6212
CONYERS,19883,6660
CORDELE,13609,5306
COVINGTON,11186,5678
CUMMING,28142,5580
DAHLONEGA,13644,6792
DALLAS,17083,6048
DALTON,15413,5711
DECATUR,16308,6540
DEMOREST,8711,5751
DOUGLAS,17443,5413
DOUGLASVILLE,21166,6105
DUBLIN,25793,6849
EAST POINT,39723,6996
EASTMAN,9358,6202
ELBERTON,9464,5627
ELLIJAY,13954,5794
FAYETTEVILLE,17013,5287
FITZGERALD,10976,5099
FORT OGLETHORPE,20643,5995
GAINESVILLE,21023,5849
GRIFFIN,36609,6125
HAWKINSVILLE,7738,5635
JASPER,19167,6056
JESUP,15026,6221
JOHNS CREEK,15225,5299
LAGRANGE,14399,5706
LAWRENCEVILLE,18238,6050
LITHONIA,13725,5605
LOUISVILLE,10624,6417
MACON,22324,6400
MARIETTA,22724,6080
MILLEDGEVILLE,17808,5856
MONROE,15347,5989
MOULTRIE,11533,5929
NASHVILLE,15726,5266
NEWNAN,20384,5785
PERRY,15336,5886
RIVERDALE,19337,6386
ROME,20828,6284
ROSWELL,53760,5848
SAVANNAH,21600,6089
SNELLVILLE,26330,5530
STATESBORO,23920,6260
STOCKBRIDGE,15361,5753
SWAINSBORO,13823,5742
THOMASTON,12128,6228
THOMASVILLE,15156,5400
TIFTON,18863,5755
TOCCOA,18424,5411
VALDOSTA,17979,5855
VIDALIA,19619,5321
WARNER ROBINS,14757,5790
WAYCROSS,16914,5634
WINDER,17728,6617
