city,avgCoveredCharges,averagePayments
ALBANY,22318,5581
ATHENS,19872,4966
ATLANTA,20257,4917
AUGUSTA,17696,4898
AUSTELL,23139,5164
BRUNSWICK,19113,6485
CALHOUN,20336,6208
CARROLLTON,21488,4773
COLUMBUS,13549,4343
CONYERS,18104,5154
COVINGTON,14842,4652
CUMMING,27736,4454
DALTON,22938,7509
DECATUR,14684,6165
FAYETTEVILLE,22163,4404
GAINESVILLE,22665,4849
GRIFFIN,34549,4812
LAGRANGE,17438,5206
LAWRENCEVILLE,14957,4881
MACON,29124,5534
MARIETTA,25234,5051
ROME,23909,4766
ROSWELL,35160,4624
SAVANNAH,18885,5021
SNELLVILLE,16547,4380
STOCKBRIDGE,16628,4680
THOMASVILLE,17806,4433
VALDOSTA,12471,4767
VIDALIA,17926,4338
WARNER ROBINS,20406,4700
WAYCROSS,14414,4335
