city,avgCoveredCharges,averagePayments
ADEL,9302,4772
ALBANY,31001,10142
AMERICUS,19139,8399
ATHENS,30525,8805
ATLANTA,34444,10565
AUGUSTA,34029,10588
AUSTELL,35092,9573
BAINBRIDGE,13276,5414
BAXLEY,13965,5985
BLAIRSVILLE,11106,6521
BLUE RIDGE,32665,7133
BRUNSWICK,25503,9880
CAIRO,13200,5420
CALHOUN,29765,8153
CANTON,40685,8606
CARROLLTON,29256,9619
CARTERSVILLE,49016,8300
CHATSWORTH,18298,6970
CLAXTON,16781,6638
COLUMBUS,26550,8552
COMMERCE,15286,7988
CONYERS,25515,8698
CORDELE,14519,6200
COVINGTON,15848,6930
CUMMING,42545,8063
DAHLONEGA,21056,9290
DALLAS,20333,6150
DALTON,28258,8987
DECATUR,24496,9594
DEMOREST,13787,7747
DONALSONVILLE,15093,4746
DOUGLAS,16794,5307
DOUGLASVILLE,29100,7211
DUBLIN,33188,8202
EAST POINT,63912,9753
EASTMAN,13632,6863
ELBERTON,11260,6047
ELLIJAY,14130,5797
FAYETTEVILLE,30949,8468
FITZGERALD,14739,5821
FORT OGLETHORPE,21823,7457
GAINESVILLE,35780,9499
GRIFFIN,39489,7606
HARTWELL,13046,5405
HAWKINSVILLE,12226,7159
JASPER,24827,7756
JESUP,17952,7403
JOHNS CREEK,22310,7238
LAGRANGE,19886,7285
LAWRENCEVILLE,24613,8832
LITHONIA,17693,7132
LOUISVILLE,8003,5567
MACON,34375,9999
MARIETTA,35601,8899
MILLEDGEVILLE,23380,7356
MONROE,18981,6349
MONTEZUMA,13071,9674
MOULTRIE,15762,7556
NASHVILLE,15472,5330
NEWNAN,28307,7719
PERRY,16868,6348
RIVERDALE,30153,9300
ROME,35169,9046
ROSWELL,61782,7443
ROYSTON,11631,6571
SAINT MARYS,20218,11201
SANDERSVILLE,15388,8533
SAVANNAH,34654,9479
SMYRNA,21753,6167
SNELLVILLE,41332,8120
STATESBORO,29207,7895
STOCKBRIDGE,30018,8376
SWAINSBORO,13233,5977
THOMASTON,19172,7643
THOMASVILLE,28381,9072
THOMSON,15371,7429
TIFTON,30305,8386
TOCCOA,17419,5766
VALDOSTA,25693,8593
VIDALIA,22615,6123
VILLA RICA,20225,8069
WARNER ROBINS,22066,7714
WAYCROSS,20445,6467
WAYNESBORO,8326,5775
WINDER,21582,6539
