description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,24670,6136
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,35062,10202
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,22163,4404
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,28984,5573
BRONCHITIS & ASTHMA W CC/MCC,202,13867,5256
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,15486,4837
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,17301,6836
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11502,3251
CELLULITIS W MCC,602,19556,7879
CELLULITIS W/O MCC,603,16251,4693
CERVICAL SPINAL FUSION W/O CC/MCC,473,43582,13015
CHEST PAIN,313,15390,3061
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,17013,5287
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,20602,6431
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11452,4075
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,21979,5933
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,20483,5089
DIABETES W CC,638,18725,4624
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,33121,6119
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,27618,6430
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,19522,4019
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,27795,5544
FRACTURES OF HIP & PELVIS W/O MCC,536,20859,3988
G.I. HEMORRHAGE W CC,378,20766,5731
G.I. HEMORRHAGE W MCC,377,28774,9548
G.I. HEMORRHAGE W/O CC/MCC,379,16820,3978
G.I. OBSTRUCTION W CC,389,18749,4961
G.I. OBSTRUCTION W/O CC/MCC,390,13560,3546
HEART FAILURE & SHOCK W CC,292,15795,5604
HEART FAILURE & SHOCK W MCC,291,25898,8327
HEART FAILURE & SHOCK W/O CC/MCC,293,11066,3796
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,48433,10703
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,67113,17989
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,35855,8549
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,101004,31195
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,21494,6315
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,45113,10338
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,19950,4564
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,22881,6441
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,15031,4294
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,43681,9815
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,37974,6760
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,72154,15641
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,24401,7022
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,52619,12725
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,53145,14135
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,108044,29968
MEDICAL BACK PROBLEMS W/O MCC,552,17965,4519
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,19497,5989
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,14606,3784
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,32626,12445
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,26346,5417
OTHER VASCULAR PROCEDURES W CC,253,57610,13368
OTHER VASCULAR PROCEDURES W MCC,252,60247,20007
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,35862,9594
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,53208,12585
PERIPHERAL VASCULAR DISORDERS W CC,300,18443,5218
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,13972,3682
PULMONARY EDEMA & RESPIRATORY FAILURE,189,22931,7137
PULMONARY EMBOLISM W/O MCC,176,24498,6017
RED BLOOD CELL DISORDERS W MCC,811,24262,6983
RED BLOOD CELL DISORDERS W/O MCC,812,22509,4906
RENAL FAILURE W CC,683,22062,6103
RENAL FAILURE W MCC,682,33762,9042
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,19747,7656
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,32127,10847
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,127452,34054
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,46715,12889
SEIZURES W/O MCC,101,17996,4236
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,129466,35791
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,37127,10681
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,21528,6318
SIGNS & SYMPTOMS W/O MCC,948,20071,3718
SIMPLE PNEUMONIA & PLEURISY W CC,194,18938,5577
SIMPLE PNEUMONIA & PLEURISY W MCC,193,25370,8156
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,16500,4198
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,65714,26169
