description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,30348,8253
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,42000,13494
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,29124,5534
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,19116,4604
ATHEROSCLEROSIS W/O MCC,303,14727,3973
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,21423,7004
BRONCHITIS & ASTHMA W CC/MCC,202,18457,5757
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,17461,5788
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,25732,8572
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9807,3888
CELLULITIS W MCC,602,31342,11004
CELLULITIS W/O MCC,603,16188,5499
CERVICAL SPINAL FUSION W/O CC/MCC,473,42849,15184
CHEST PAIN,313,12925,3823
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,20829,6687
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,23715,8407
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,14085,4980
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,40727,14364
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,31789,7760
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,19729,5818
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,19560,6285
DIABETES W CC,638,16408,5718
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,22670,7125
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,25466,7910
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,16212,5084
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,18004,6985
FRACTURES OF HIP & PELVIS W/O MCC,536,13128,4803
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,14983,4759
G.I. HEMORRHAGE W CC,378,22876,7048
G.I. HEMORRHAGE W MCC,377,32002,11707
G.I. HEMORRHAGE W/O CC/MCC,379,14603,5072
G.I. OBSTRUCTION W CC,389,17022,6412
G.I. OBSTRUCTION W/O CC/MCC,390,12756,4555
HEART FAILURE & SHOCK W CC,292,18549,7156
HEART FAILURE & SHOCK W MCC,291,26838,10515
HEART FAILURE & SHOCK W/O CC/MCC,293,11148,4616
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,37854,12516
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,72435,23169
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,28167,10352
HYPERTENSION W/O MCC,305,12261,4411
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,131163,42527
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,28388,8298
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,46226,14245
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,20783,5657
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,22910,8151
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,16601,5301
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,36200,12596
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,83645,23010
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,27868,8623
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,72122,22490
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,44525,14913
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,45023,17918
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,136134,44738
MEDICAL BACK PROBLEMS W/O MCC,552,21601,5783
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,21628,8276
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,14512,4554
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,17473,6367
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,43625,13536
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,19296,6820
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,20831,6721
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,31810,10547
OTHER VASCULAR PROCEDURES W CC,253,60434,17616
OTHER VASCULAR PROCEDURES W MCC,252,67835,21605
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,35631,11764
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,74962,22828
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,52835,14072
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,48073,12272
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,48136,13020
PERIPHERAL VASCULAR DISORDERS W CC,300,17673,6660
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,10794,4296
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,52754,18451
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,37505,14106
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,29484,10120
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,19186,4388
PULMONARY EDEMA & RESPIRATORY FAILURE,189,25132,8713
PULMONARY EMBOLISM W/O MCC,176,29025,7251
