description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,25842,10967
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,45278,16705
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,23004,7986
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,18165,5690
ATHEROSCLEROSIS W/O MCC,303,10972,5035
BRONCHITIS & ASTHMA W CC/MCC,202,22057,7357
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,22923,10870
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,31906,10858
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,13599,5210
CELLULITIS W MCC,602,53799,16265
CELLULITIS W/O MCC,603,17229,7527
CERVICAL SPINAL FUSION W/O CC/MCC,473,44489,17745
CHEST PAIN,313,14161,5002
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,25307,8631
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,32190,10517
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,21283,6960
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,48272,17344
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,24126,10113
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,27601,9585
DIABETES W CC,638,19392,7369
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,21049,10297
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,13916,6727
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,27810,10982
FRACTURES OF HIP & PELVIS W/O MCC,536,15945,6736
G.I. HEMORRHAGE W CC,378,17214,9058
G.I. HEMORRHAGE W MCC,377,33284,15168
G.I. HEMORRHAGE W/O CC/MCC,379,10406,6795
G.I. OBSTRUCTION W CC,389,23713,8317
G.I. OBSTRUCTION W/O CC/MCC,390,12690,5703
HEART FAILURE & SHOCK W CC,292,23562,9232
HEART FAILURE & SHOCK W MCC,291,39052,13531
HEART FAILURE & SHOCK W/O CC/MCC,293,16096,7016
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,40883,16100
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,67567,27744
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,33983,15127
HYPERTENSION W/O MCC,305,10817,5554
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,199740,76093
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,28264,11063
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,41098,17180
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,18815,8123
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,17185,7367
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,63090,26419
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,38503,20016
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,56152,25680
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,146859,52674
MEDICAL BACK PROBLEMS W/O MCC,552,25117,7565
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,29914,11014
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,20461,6315
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,26554,10019
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,37252,15995
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,24619,9106
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,17668,9262
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,27335,14614
OTHER VASCULAR PROCEDURES W CC,253,55712,24079
OTHER VASCULAR PROCEDURES W MCC,252,73989,28166
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,53922,14040
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,84452,27495
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,51919,18019
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,49205,17182
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,32225,15806
PERIPHERAL VASCULAR DISORDERS W CC,300,26397,9814
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,58323,23927
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,39482,18417
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,52904,16266
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,15185,5508
PSYCHOSES,885,17029,8117
PULMONARY EDEMA & RESPIRATORY FAILURE,189,49618,11527
PULMONARY EMBOLISM W/O MCC,176,18938,11031
RENAL FAILURE W CC,683,19836,9855
RENAL FAILURE W MCC,682,28126,14242
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,34336,12998
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,37776,18667
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,60220,20864
SEIZURES W/O MCC,101,19657,8138
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,46466,17329
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,24012,11077
SIGNS & SYMPTOMS W/O MCC,948,21457,7212
SIMPLE PNEUMONIA & PLEURISY W CC,194,21721,8773
SIMPLE PNEUMONIA & PLEURISY W MCC,193,43256,13407
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,16515,6205
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,75295,35172
SYNCOPE & COLLAPSE,312,21116,6812
TRANSIENT ISCHEMIA,069,21214,6862
