description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,23607,6123
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,28382,9494
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,20640,4205
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,13982,3436
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,17288,5177
BRONCHITIS & ASTHMA W CC/MCC,202,13856,5746
BRONCHITIS & ASTHMA W/O CC/MCC,203,12293,3459
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,13156,4452
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,20720,6487
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9261,3075
CELLULITIS W MCC,602,20999,7279
CELLULITIS W/O MCC,603,13110,4415
CERVICAL SPINAL FUSION W/O CC/MCC,473,28024,11047
CHEST PAIN,313,10510,2880
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,15846,5118
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,19250,6172
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11670,3818
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,25411,5947
DIABETES W CC,638,10693,4300
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,16766,5867
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,13114,3771
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,21153,5698
FRACTURES OF HIP & PELVIS W/O MCC,536,11402,3779
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,12212,3658
G.I. HEMORRHAGE W CC,378,15257,5161
G.I. HEMORRHAGE W MCC,377,26177,9266
G.I. HEMORRHAGE W/O CC/MCC,379,12759,3742
G.I. OBSTRUCTION W CC,389,13465,4880
G.I. OBSTRUCTION W/O CC/MCC,390,11366,3320
HEART FAILURE & SHOCK W CC,292,13730,5351
HEART FAILURE & SHOCK W MCC,291,22902,8223
