city,avgCoveredCharges,averagePayments
AMES,18876,5763
BETTENDORF,13292,5265
CARROLL,12452,6310
CEDAR FALLS,11873,4966
CEDAR RAPIDS,17161,5545
CLINTON,16669,6416
COUNCIL BLUFFS,24181,6060
DAVENPORT,13686,5674
DES MOINES,18311,6413
DUBUQUE,13758,5195
FORT DODGE,16821,5831
FORT MADISON,11039,6026
GRINNELL,11292,6280
IOWA CITY,19501,7439
KEOKUK,10766,6222
MARSHALLTOWN,15522,6048
MASON CITY,12622,6114
MUSCATINE,19589,7668
NEWTON,17652,6798
OTTUMWA,12412,5916
SIOUX CITY,15173,6060
SPENCER,13258,5671
SPIRIT LAKE,10816,6660
WATERLOO,12765,5722
WEST BURLINGTON,16186,5765
