city,avgCoveredCharges,averagePayments
AMES,23193,7597
BETTENDORF,23307,8854
CARROLL,20378,8331
CEDAR FALLS,20831,6903
CEDAR RAPIDS,26283,7992
CLINTON,22362,7934
COUNCIL BLUFFS,26540,7841
DAVENPORT,25018,8475
DES MOINES,30680,9408
DUBUQUE,19408,6775
FORT DODGE,23141,7558
FORT MADISON,12448,6262
GRINNELL,12266,7148
IOWA CITY,34060,12125
KEOKUK,11546,6161
MARSHALLTOWN,19397,7644
MASON CITY,21345,8000
MUSCATINE,17103,8222
NEWTON,13582,6389
OTTUMWA,16426,7423
SIOUX CITY,25864,8690
SPENCER,20760,7345
SPIRIT LAKE,15851,7557
WATERLOO,19796,8055
WEST BURLINGTON,21566,7897
