description,code,avgCoveredCharges,averagePayments
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,10814,5958
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,12560,7008
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,7746,4497
G.I. OBSTRUCTION W CC,389,8560,5803
HEART FAILURE & SHOCK W CC,292,9871,6516
HEART FAILURE & SHOCK W MCC,291,13118,9610
HEART FAILURE & SHOCK W/O CC/MCC,293,8392,4256
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,9647,7246
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9967,4976
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,29322,13307
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,7492,4383
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,15484,11121
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,9690,7170
SIMPLE PNEUMONIA & PLEURISY W CC,194,11292,6280
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,9335,4299
