description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,25102,7143
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,28552,10846
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,23504,4923
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,8777,3983
ATHEROSCLEROSIS W/O MCC,303,13245,3680
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,14705,5974
BRONCHITIS & ASTHMA W CC/MCC,202,12816,5129
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,13547,5152
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,24788,7568
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11839,3568
CELLULITIS W/O MCC,603,11273,5075
CERVICAL SPINAL FUSION W/O CC/MCC,473,23634,12491
CHEST PAIN,313,10502,3352
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,12640,5619
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,15537,7017
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,9365,4519
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,38765,13045
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,24368,6877
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,14022,5947
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,11990,5956
DIABETES W CC,638,13459,4641
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,17558,6700
DYSEQUILIBRIUM,149,8286,3873
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,25592,7049
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,13036,4401
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,23591,6300
FRACTURES OF HIP & PELVIS W/O MCC,536,8307,4227
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,12051,4284
G.I. HEMORRHAGE W CC,378,15886,6194
G.I. HEMORRHAGE W MCC,377,21005,9910
G.I. HEMORRHAGE W/O CC/MCC,379,12759,4346
G.I. OBSTRUCTION W CC,389,16737,5475
G.I. OBSTRUCTION W/O CC/MCC,390,11500,3927
HEART FAILURE & SHOCK W CC,292,17137,6092
HEART FAILURE & SHOCK W MCC,291,19130,8426
HEART FAILURE & SHOCK W/O CC/MCC,293,13744,4251
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,31354,11156
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,51443,18765
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,25535,9300
HYPERTENSION W/O MCC,305,11907,3741
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,92059,31624
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,15227,6912
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,25540,10847
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,12466,4977
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,16456,7343
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,11748,4709
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,25972,7512
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,57759,19023
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,18282,7207
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,51817,19491
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,35350,12817
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,44084,15121
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,75888,29404
MEDICAL BACK PROBLEMS W/O MCC,552,11090,4999
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,17574,6637
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,10844,4153
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,15606,5851
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,22689,10666
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,18608,9603
OTHER VASCULAR PROCEDURES W CC,253,55107,14504
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,75354,20606
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,56643,12701
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,50129,10740
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,34156,10868
PERIPHERAL VASCULAR DISORDERS W CC,300,15380,5772
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,11725,3931
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,44297,15879
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,39158,12376
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,9259,3809
PSYCHOSES,885,9954,5526
PULMONARY EDEMA & RESPIRATORY FAILURE,189,22143,7758
PULMONARY EMBOLISM W/O MCC,176,19496,6354
RED BLOOD CELL DISORDERS W MCC,811,17516,8814
RED BLOOD CELL DISORDERS W/O MCC,812,14474,4831
RENAL FAILURE W CC,683,11679,6128
RENAL FAILURE W MCC,682,18425,9629
RENAL FAILURE W/O CC/MCC,684,9645,4158
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,17230,8176
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,21060,10934
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,35816,13154
SEIZURES W/O MCC,101,11076,4633
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,26876,10849
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,16914,6720
SIGNS & SYMPTOMS W/O MCC,948,11146,4092
SIMPLE PNEUMONIA & PLEURISY W CC,194,12622,6114
SIMPLE PNEUMONIA & PLEURISY W MCC,193,19425,8509
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,10847,4256
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,29787,23202
SYNCOPE & COLLAPSE,312,11648,4469
TRANSIENT ISCHEMIA,069,12304,4674
