description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,19482,6736
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,26776,11458
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,13401,5840
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,8301,4863
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,17254,7268
CELLULITIS W/O MCC,603,13715,5126
CHEST PAIN,313,9817,3118
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,12344,5658
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,20443,7045
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,9299,4232
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,18071,6135
DIABETES W CC,638,9377,5558
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,23660,6804
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,12912,4345
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,10584,6378
FRACTURES OF HIP & PELVIS W/O MCC,536,11390,4124
G.I. HEMORRHAGE W CC,378,16221,6029
G.I. HEMORRHAGE W MCC,377,27969,10080
G.I. OBSTRUCTION W CC,389,14248,5750
G.I. OBSTRUCTION W/O CC/MCC,390,8410,3752
HEART FAILURE & SHOCK W CC,292,13980,5929
HEART FAILURE & SHOCK W MCC,291,19257,8552
HEART FAILURE & SHOCK W/O CC/MCC,293,7737,3984
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,28579,10705
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,33226,16766
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,21150,8857
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,57784,29681
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,13426,6574
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,20528,10319
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,11776,4829
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9940,4736
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,19304,6891
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,32179,18161
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,15592,7913
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,36714,19756
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,26068,13175
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,41619,16284
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,52645,29472
MEDICAL BACK PROBLEMS W/O MCC,552,18546,5090
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,13932,6502
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,9660,4124
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,16630,10219
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,18184,5855
OTHER VASCULAR PROCEDURES W CC,253,20899,13601
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,16080,9514
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,31821,11918
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,43588,12285
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,9594,8023
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,8560,3750
PULMONARY EDEMA & RESPIRATORY FAILURE,189,16802,7808
PULMONARY EMBOLISM W/O MCC,176,12769,6080
RENAL FAILURE W CC,683,17302,6122
RENAL FAILURE W MCC,682,24660,10197
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,18555,9009
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,24756,11928
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,34702,14592
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,78465,33685
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,27306,11255
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,15390,6577
SIMPLE PNEUMONIA & PLEURISY W CC,194,14621,5917
SIMPLE PNEUMONIA & PLEURISY W MCC,193,21044,8883
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,11990,4361
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,64660,24934
SYNCOPE & COLLAPSE,312,10971,4621
TRANSIENT ISCHEMIA,069,10606,4307
