description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,20242,5793
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,49266,11633
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,18039,4747
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,25264,6780
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,12168,3255
CELLULITIS W MCC,602,26477,7464
CELLULITIS W/O MCC,603,17022,4617
CHEST PAIN,313,14072,3023
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,22858,5348
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,25246,6465
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,16226,3862
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,23854,6076
DIABETES W CC,638,15560,4356
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,20047,5362
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,23010,6248
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,15786,4062
FRACTURES OF HIP & PELVIS W/O MCC,536,16850,3826
G.I. HEMORRHAGE W CC,378,21703,5613
G.I. HEMORRHAGE W MCC,377,30893,9566
G.I. OBSTRUCTION W CC,389,19739,5139
G.I. OBSTRUCTION W/O CC/MCC,390,14179,3501
HEART FAILURE & SHOCK W CC,292,20911,5701
HEART FAILURE & SHOCK W MCC,291,34875,8687
HEART FAILURE & SHOCK W/O CC/MCC,293,15547,4640
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,36829,10110
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,65338,16248
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,26472,8412
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,108814,30921
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,21170,6132
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,16766,4369
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,17125,5935
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,16989,4248
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,43915,12530
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,78490,26791
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,36157,7724
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,14588,4219
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,15122,5466
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,32090,8486
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,76062,17482
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,48341,10820
PERIPHERAL VASCULAR DISORDERS W CC,300,17683,5158
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,13794,3979
PULMONARY EDEMA & RESPIRATORY FAILURE,189,26577,7010
RED BLOOD CELL DISORDERS W/O MCC,812,17799,4457
RENAL FAILURE W CC,683,19858,5464
RENAL FAILURE W MCC,682,34487,8867
RENAL FAILURE W/O CC/MCC,684,10656,3620
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,25946,7905
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,46733,11165
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,147270,38933
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,66104,12432
SEIZURES W/O MCC,101,18469,4186
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,129539,30818
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,40190,10504
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,20778,6091
SIGNS & SYMPTOMS W/O MCC,948,17384,3771
SIMPLE PNEUMONIA & PLEURISY W CC,194,25381,5448
SIMPLE PNEUMONIA & PLEURISY W MCC,193,34876,8494
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,21690,4270
SYNCOPE & COLLAPSE,312,16373,3989
TRANSIENT ISCHEMIA,069,15772,4019
