description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,52978,13832
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,51212,11631
BRONCHITIS & ASTHMA W CC/MCC,202,31765,5572
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,23656,5567
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,37275,8133
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,25298,5548
CELLULITIS W/O MCC,603,28972,6470
CHEST PAIN,313,25817,3826
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,35042,7094
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,45687,7734
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,24413,5512
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,56119,7239
DIABETES W CC,638,34834,6400
DYSEQUILIBRIUM,149,28272,6234
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,44454,7647
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,32000,4760
G.I. HEMORRHAGE W CC,378,36356,8528
G.I. HEMORRHAGE W MCC,377,58978,11637
G.I. OBSTRUCTION W CC,389,34394,6031
HEART FAILURE & SHOCK W CC,292,29094,6667
HEART FAILURE & SHOCK W MCC,291,49359,10666
HEART FAILURE & SHOCK W/O CC/MCC,293,22712,4534
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,71552,12355
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,106292,19612
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,32418,7379
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,43340,11668
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,25600,5429
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,32526,7849
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,27032,5115
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,67847,14487
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,135331,20477
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,74370,14973
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,94346,16612
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,138295,31792
MEDICAL BACK PROBLEMS W/O MCC,552,24112,4923
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,34590,7486
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,25872,4904
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,28295,7887
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,55132,11020
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,42215,6590
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,50653,10150
OTHER VASCULAR PROCEDURES W CC,253,119645,15996
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,82594,13027
PERIPHERAL VASCULAR DISORDERS W CC,300,32741,8067
PULMONARY EDEMA & RESPIRATORY FAILURE,189,43159,8483
PULMONARY EMBOLISM W/O MCC,176,34290,6936
RED BLOOD CELL DISORDERS W MCC,811,60774,8636
RED BLOOD CELL DISORDERS W/O MCC,812,22902,5283
RENAL FAILURE W CC,683,32234,7012
RENAL FAILURE W MCC,682,56721,10805
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,45205,9686
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,79041,13593
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,73432,14948
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,65111,13042
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,45380,7633
SIGNS & SYMPTOMS W/O MCC,948,24378,4433
SIMPLE PNEUMONIA & PLEURISY W CC,194,38769,6841
SIMPLE PNEUMONIA & PLEURISY W MCC,193,53174,9624
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,28219,5322
SYNCOPE & COLLAPSE,312,31431,5591
TRANSIENT ISCHEMIA,069,28035,4862
