description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,16642,7109
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,32312,11041
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,17899,4858
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,27716,6527
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,13138,5082
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,15421,7261
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10499,3438
CELLULITIS W MCC,602,16959,8686
CELLULITIS W/O MCC,603,14988,5574
CERVICAL SPINAL FUSION W/O CC/MCC,473,67760,16304
CHEST PAIN,313,12267,3461
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,17118,5854
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,19991,7096
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,12904,4566
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,29680,12556
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,19228,6698
DIABETES W CC,638,12405,4793
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,21919,6967
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14219,4658
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,27280,6099
G.I. HEMORRHAGE W CC,378,17036,5947
G.I. HEMORRHAGE W MCC,377,17661,10132
G.I. OBSTRUCTION W CC,389,11022,5538
G.I. OBSTRUCTION W/O CC/MCC,390,10836,3847
HEART FAILURE & SHOCK W CC,292,14900,6082
HEART FAILURE & SHOCK W MCC,291,21290,8416
HEART FAILURE & SHOCK W/O CC/MCC,293,10135,4128
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,35882,11078
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,39463,16992
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,80166,30864
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,15961,6695
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,26572,10993
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,13707,4890
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,17485,7195
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13898,4624
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,37416,10185
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,52144,18461
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,16973,6898
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,56220,18572
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,40572,12797
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,52635,15539
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,77947,30882
MEDICAL BACK PROBLEMS W/O MCC,552,11718,4609
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,14523,6596
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12148,4068
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,13821,5660
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,26978,11262
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,19785,5793
OTHER VASCULAR PROCEDURES W CC,253,44990,14899
OTHER VASCULAR PROCEDURES W MCC,252,52225,18081
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,74867,19409
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,53818,13419
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,40567,10629
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,33441,10775
PERIPHERAL VASCULAR DISORDERS W CC,300,11992,7262
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,35570,15543
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,26166,12099
PULMONARY EDEMA & RESPIRATORY FAILURE,189,20645,7731
PULMONARY EMBOLISM W/O MCC,176,15722,5898
RED BLOOD CELL DISORDERS W MCC,811,15874,7218
RED BLOOD CELL DISORDERS W/O MCC,812,12613,4757
RENAL FAILURE W CC,683,16986,6068
RENAL FAILURE W MCC,682,28524,9793
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,21132,8773
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,33354,12477
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,37808,13844
SEIZURES W/O MCC,101,10403,4483
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,26526,11274
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,16993,6657
SIGNS & SYMPTOMS W/O MCC,948,12726,4096
SIMPLE PNEUMONIA & PLEURISY W CC,194,16118,5978
SIMPLE PNEUMONIA & PLEURISY W MCC,193,21043,8523
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,12786,4204
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,135425,33656
SYNCOPE & COLLAPSE,312,10372,4319
TRANSIENT ISCHEMIA,069,13263,4597
