providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,21894,6744
ADVOCATE TRINITY HOSPITAL,140048,15118,5229
HOLY CROSS HOSPITAL,140133,15767,4903
JACKSON PARK HOSPITAL,140177,24532,6165
JOHN H STROGER JR HOSPITAL,140124,13581,8618
LORETTO HOSPITAL,140083,10061,5899
LOUIS A WEISS MEMORIAL HOSPITAL,140082,20454,5843
MERCY HOSPITAL AND MEDICAL CENTER,140158,11432,6265
METHODIST HOSPITAL OF CHICAGO,140197,11432,5512
MT SINAI HOSPITAL MEDICAL CENTER,140018,16468,7090
NORTHWESTERN MEMORIAL HOSPITAL,140281,20378,5854
NORWEGIAN-AMERICAN HOSPITAL,140206,21296,6251
OUR LADY OF THE RESURRECTION MED CTR,140251,20165,4596
RESURRECTION MEDICAL CENTER,140117,20929,5201
ROSELAND COMMUNITY HOSPITAL,140068,28335,5719
RUSH UNIVERSITY MEDICAL CENTER,140119,21808,7654
SACRED HEART HOSPITAL,140151,19100,6255
SAINT ANTHONY HOSPITAL,140095,16395,6110
SAINT JOSEPH HOSPITAL,140224,20283,5911
SOUTH SHORE HOSPITAL,140181,19513,5398
ST BERNARD HOSPITAL,140103,14716,6164
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,25006,6283
SWEDISH COVENANT HOSPITAL,140114,26407,5929
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,28563,9016
THOREK MEMORIAL HOSPITAL,140115,11856,5730
UNIVERSITY OF ILLINOIS HOSPITAL,140150,20081,9157
