description,code,avgCoveredCharges,averagePayments
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,4190,5281
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11455,4636
CELLULITIS W/O MCC,603,13871,6706
CHEST PAIN,313,12435,4465
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,17689,7840
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,22165,9532
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,10400,5856
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,10837,7557
DIABETES W CC,638,13534,6667
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,13108,8186
DYSEQUILIBRIUM,149,13550,5179
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,11233,5818
G.I. HEMORRHAGE W CC,378,18234,8349
HEART FAILURE & SHOCK W CC,292,17984,8166
HEART FAILURE & SHOCK W MCC,291,28271,11754
HEART FAILURE & SHOCK W/O CC/MCC,293,12451,5568
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,65948,38909
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13997,6153
MEDICAL BACK PROBLEMS W/O MCC,552,12939,6615
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,11856,5730
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,12368,8056
PSYCHOSES,885,12222,7226
RED BLOOD CELL DISORDERS W MCC,811,26164,10167
RED BLOOD CELL DISORDERS W/O MCC,812,13403,6456
RENAL FAILURE W CC,683,16235,8129
RENAL FAILURE W MCC,682,24124,12828
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,41487,16134
SEIZURES W/O MCC,101,11811,6164
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,53084,38484
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,40797,15665
SIGNS & SYMPTOMS W/O MCC,948,13577,5983
SIMPLE PNEUMONIA & PLEURISY W CC,194,24093,8230
SYNCOPE & COLLAPSE,312,14038,5777
TRANSIENT ISCHEMIA,069,14180,5933
