description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,24070,6691
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,25924,4604
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,11547,3849
BRONCHITIS & ASTHMA W CC/MCC,202,28014,5001
BRONCHITIS & ASTHMA W/O CC/MCC,203,19854,3612
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,23652,5381
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,38255,7324
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,14728,3386
CELLULITIS W/O MCC,603,17939,4970
CHEST PAIN,313,15262,3261
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,32137,5824
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,37235,7352
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,17533,4225
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,38962,8776
DIABETES W CC,638,18455,4746
DYSEQUILIBRIUM,149,14086,3788
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,23822,6852
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,21942,4259
G.I. HEMORRHAGE W CC,378,31179,6009
G.I. HEMORRHAGE W MCC,377,52610,13194
G.I. HEMORRHAGE W/O CC/MCC,379,19532,4240
G.I. OBSTRUCTION W CC,389,30723,5370
G.I. OBSTRUCTION W/O CC/MCC,390,14906,3700
HEART FAILURE & SHOCK W CC,292,24270,5866
HEART FAILURE & SHOCK W MCC,291,36974,9022
HEART FAILURE & SHOCK W/O CC/MCC,293,13761,4016
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,46712,10796
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,38838,9090
HYPERTENSION W/O MCC,305,13966,3645
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,21860,6592
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,35339,10686
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,17742,4781
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,38067,7666
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,23812,4436
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,104596,23199
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,58571,12868
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,63495,14514
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,137791,36564
MEDICAL BACK PROBLEMS W/O MCC,552,21294,4797
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,18083,4209
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,31895,6628
PERIPHERAL VASCULAR DISORDERS W CC,300,22954,5716
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,15540,3549
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,78255,15896
PULMONARY EDEMA & RESPIRATORY FAILURE,189,49468,8633
PULMONARY EMBOLISM W/O MCC,176,32014,6154
RED BLOOD CELL DISORDERS W/O MCC,812,18104,4718
RENAL FAILURE W CC,683,24241,5832
RENAL FAILURE W MCC,682,39758,10324
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,40017,8725
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,59456,13607
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,148209,34218
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,63215,14319
SEIZURES W/O MCC,101,18307,4436
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,54801,11706
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,32207,6816
SIGNS & SYMPTOMS W/O MCC,948,16103,3885
SIMPLE PNEUMONIA & PLEURISY W CC,194,34378,6175
SIMPLE PNEUMONIA & PLEURISY W MCC,193,52017,9595
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,17583,4138
SYNCOPE & COLLAPSE,312,19686,4254
TRANSIENT ISCHEMIA,069,13767,4335
