city,avgCoveredCharges,averagePayments
ALTON,32930,8151
ARLINGTON HEIGH,32144,8036
AURORA,46786,9238
BARRINGTON,29834,8849
BELLEVILLE,27002,7725
BERWYN,31219,10139
BLOOMINGTON,36709,8697
BLUE ISLAND,29042,9285
BOLINGBROOK,32799,8316
BREESE,14892,7205
CANTON,15002,6664
CARBONDALE,26471,9049
CENTRALIA,15873,6523
CENTREVILLE,11778,8055
CHICAGO,35004,11047
DANVILLE,35713,7424
DECATUR,23971,7847
DEKALB,31325,6954
DIXON,28756,6637
DOWNERS GROVE,37135,8813
EFFINGHAM,17126,7177
ELGIN,41338,9011
ELK GROVE VILLA,46552,9001
ELMHURST,44385,8863
EVANSTON,35628,10123
EVERGREEN PARK,33748,8481
FREEPORT,22579,7447
GALESBURG,31973,7992
GENEVA,36553,7035
GLENDALE HEIGHT,27478,8737
GRANITE CITY,56986,7257
GREENVILLE,10935,8639
HARRISBURG,12236,5442
HARVEY,29285,8354
HAZEL CREST,28613,8754
HERRIN,21284,7145
HINSDALE,40178,9217
HOFFMAN ESTATES,43223,8644
JACKSONVILLE,24273,8164
JERSEYVILLE,9300,5814
JOLIET,38981,8007
KANKAKEE,32375,8650
LA GRANGE,38072,8808
LAKE FOREST,27771,6821
LIBERTYVILLE,43295,8485
MACOMB,15837,6770
MARION,46471,7367
MARYVILLE,22299,7162
MATTOON,18786,6454
MAYWOOD,30607,13078
MCHENRY,29445,8291
MELROSE PARK,56318,9952
MORRIS,27908,7801
MOUNT VERNON,23864,7808
NAPERVILLE,36175,8599
NEW LENOX,24182,7396
NORMAL,24697,8373
OAK FOREST,10999,3848
OAK LAWN,37783,12236
OAK PARK,31622,9243
OLNEY,18525,5753
OLYMPIA FIELDS,29484,9101
OTTAWA,20589,7544
PALOS HEIGHTS,32889,7884
PARK RIDGE,33255,11301
PEKIN,26364,6349
PEORIA,38822,9545
PERU,23076,7012
PONTIAC,30288,11687
QUINCY,26926,8295
ROCK ISLAND,20583,8077
ROCKFORD,35504,9135
SHELBYVILLE,10314,5840
SILVIS,19656,7443
SKOKIE,33511,9226
SPRING VALLEY,19112,5724
SPRINGFIELD,32049,9787
STERLING,31227,7504
STREATOR,22359,8368
URBANA,37238,9532
WATSEKA,10721,7001
WAUKEGAN,44063,8269
WINFIELD,48266,9011
WOODSTOCK,24921,7515
ZION,39159,13984
