description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,35571,14508
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,31004,6209
CHEST PAIN,313,23700,4076
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,29924,8370
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,37218,8054
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,25628,5311
G.I. HEMORRHAGE W CC,378,25087,7606
HEART FAILURE & SHOCK W CC,292,32141,7527
HEART FAILURE & SHOCK W MCC,291,35910,12488
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,60624,13886
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,46221,13347
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,30886,8629
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,22118,5633
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,71273,15593
PSYCHOSES,885,18299,6777
PULMONARY EDEMA & RESPIRATORY FAILURE,189,43625,9483
RED BLOOD CELL DISORDERS W/O MCC,812,21597,5898
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,54288,14401
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,54082,16390
SEIZURES W/O MCC,101,17402,5201
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,129177,42941
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,54459,18001
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,33798,7688
SIMPLE PNEUMONIA & PLEURISY W CC,194,27064,7348
SIMPLE PNEUMONIA & PLEURISY W MCC,193,42433,10214
SYNCOPE & COLLAPSE,312,26011,5378
