description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,30519,7853
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,41024,12023
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,28053,5281
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,5955,4349
ATHEROSCLEROSIS W/O MCC,303,20374,3888
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,45047,6674
BRONCHITIS & ASTHMA W CC/MCC,202,18909,5513
BRONCHITIS & ASTHMA W/O CC/MCC,203,17357,4258
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,19449,5507
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,24205,8035
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,15338,3783
CELLULITIS W/O MCC,603,15583,5372
CHEST PAIN,313,16743,3623
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,22682,6339
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,26370,7778
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,18351,4759
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,33300,12679
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,27361,7193
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,22516,5878
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,25703,6052
DIABETES W CC,638,22816,5594
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,19324,6646
DYSEQUILIBRIUM,149,22151,4215
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,24876,7615
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,18635,4738
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,24660,6695
FRACTURES OF HIP & PELVIS W/O MCC,536,12238,4396
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,15217,4719
G.I. HEMORRHAGE W CC,378,26633,7097
G.I. HEMORRHAGE W MCC,377,45888,12786
G.I. HEMORRHAGE W/O CC/MCC,379,17111,4708
G.I. OBSTRUCTION W CC,389,27748,6176
G.I. OBSTRUCTION W/O CC/MCC,390,15275,4140
HEART FAILURE & SHOCK W CC,292,22835,6726
HEART FAILURE & SHOCK W MCC,291,29194,9613
HEART FAILURE & SHOCK W/O CC/MCC,293,15897,4463
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,59026,12345
HYPERTENSION W/O MCC,305,15234,4044
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,92600,34136
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,32194,7656
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,42629,12189
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,25380,5404
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,26825,7738
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,20950,5118
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,27525,7694
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,24180,8308
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,83901,21812
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,50447,13690
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,61862,16534
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,100757,32046
MEDICAL BACK PROBLEMS W/O MCC,552,24686,5377
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,20091,7328
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,16513,4771
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,18564,6098
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,30765,11821
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,21976,6456
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,19831,6467
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,26825,9930
OTHER VASCULAR PROCEDURES W CC,253,56801,17043
OTHER VASCULAR PROCEDURES W MCC,252,51873,19749
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,47288,12825
