description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,18729,6265
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,21008,9045
ATHEROSCLEROSIS W/O MCC,303,11414,3336
BRONCHITIS & ASTHMA W CC/MCC,202,15639,4825
BRONCHITIS & ASTHMA W/O CC/MCC,203,11463,3483
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,15477,4692
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,22657,6804
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11677,3262
CELLULITIS W MCC,602,22614,8218
CELLULITIS W/O MCC,603,13760,4754
CHEST PAIN,313,15211,3147
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,17378,5502
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,19449,6705
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,12215,4043
DIABETES W CC,638,10817,4607
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,15259,7222
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14462,4329
FRACTURES OF HIP & PELVIS W/O MCC,536,13179,3846
G.I. HEMORRHAGE W CC,378,17814,5847
G.I. HEMORRHAGE W MCC,377,25088,9540
G.I. HEMORRHAGE W/O CC/MCC,379,12686,4413
G.I. OBSTRUCTION W CC,389,13270,5349
G.I. OBSTRUCTION W/O CC/MCC,390,13962,3644
HEART FAILURE & SHOCK W CC,292,18159,5876
HEART FAILURE & SHOCK W MCC,291,25540,8463
HEART FAILURE & SHOCK W/O CC/MCC,293,12046,4091
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,36781,10480
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,45917,17203
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,31034,8711
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,75308,29817
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,18052,6488
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,24065,10107
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,13743,4694
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,18970,6504
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,12852,4378
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,20222,7043
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,56160,18497
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,41381,12741
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,57362,17255
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,113874,39927
MEDICAL BACK PROBLEMS W/O MCC,552,14480,5968
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12099,4001
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,16319,10218
PERIPHERAL VASCULAR DISORDERS W CC,300,12805,5312
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,6535,3658
PULMONARY EDEMA & RESPIRATORY FAILURE,189,24634,7325
PULMONARY EMBOLISM W/O MCC,176,17178,5984
RED BLOOD CELL DISORDERS W/O MCC,812,10366,4507
RENAL FAILURE W CC,683,14163,5813
RENAL FAILURE W MCC,682,20906,9015
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,23928,8169
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,33892,11009
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,34358,12601
SEIZURES W/O MCC,101,13380,4699
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,29184,10767
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,16805,6487
SIGNS & SYMPTOMS W/O MCC,948,13183,3859
SIMPLE PNEUMONIA & PLEURISY W CC,194,18224,5663
SIMPLE PNEUMONIA & PLEURISY W MCC,193,27070,8307
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,14326,4059
SYNCOPE & COLLAPSE,312,12770,4311
TRANSIENT ISCHEMIA,069,10868,4184
