description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,53515,6744
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,32370,4756
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,67768,8089
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,22110,4137
CELLULITIS W/O MCC,603,31414,5135
CHEST PAIN,313,26070,3863
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,33224,5519
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,37127,6741
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,24677,4060
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,62544,6127
DYSEQUILIBRIUM,149,15194,3620
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,31250,7321
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,23684,5024
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,47950,6539
G.I. HEMORRHAGE W CC,378,40032,5791
G.I. OBSTRUCTION W CC,389,28183,5217
G.I. OBSTRUCTION W/O CC/MCC,390,20898,3520
HEART FAILURE & SHOCK W CC,292,30756,5769
HEART FAILURE & SHOCK W MCC,291,51654,8774
HEART FAILURE & SHOCK W/O CC/MCC,293,22667,3786
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,64960,10452
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,65132,8608
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,47817,6238
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,32944,4584
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,39834,6686
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,29828,4400
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,118971,21574
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,84749,11958
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,84961,14662
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,23815,3895
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,34383,5580
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,53292,9211
OTHER VASCULAR PROCEDURES W CC,253,89872,13619
OTHER VASCULAR PROCEDURES W MCC,252,96808,18747
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,79472,9154
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,137166,11212
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,73632,11560
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,18625,3489
RED BLOOD CELL DISORDERS W MCC,811,43859,6813
RED BLOOD CELL DISORDERS W/O MCC,812,23186,6459
RENAL FAILURE W CC,683,31011,5755
RENAL FAILURE W MCC,682,52620,9938
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,183126,29616
SEIZURES W/O MCC,101,23077,5601
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,208279,32953
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,73646,13026
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,43933,6287
SIGNS & SYMPTOMS W/O MCC,948,22133,3865
SIMPLE PNEUMONIA & PLEURISY W CC,194,39233,5619
SIMPLE PNEUMONIA & PLEURISY W MCC,193,49901,9242
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,26900,4267
SYNCOPE & COLLAPSE,312,26617,4053
TRANSIENT ISCHEMIA,069,30203,4143
