description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,33408,6837
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,53926,10570
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,25245,4674
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,20610,4941
ATHEROSCLEROSIS W/O MCC,303,16330,3377
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,26230,5741
BRONCHITIS & ASTHMA W CC/MCC,202,20836,5672
BRONCHITIS & ASTHMA W/O CC/MCC,203,16329,3755
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,24027,4917
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,34233,7593
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,15182,3623
CELLULITIS W/O MCC,603,16502,5208
CERVICAL SPINAL FUSION W/O CC/MCC,473,53579,13998
CHEST PAIN,313,21037,3185
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,24771,5689
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,31088,7003
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,18150,4433
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,65972,21345
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,31523,7231
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,23246,5336
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,18387,4885
DIABETES W CC,638,18592,4772
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,22004,8247
DYSEQUILIBRIUM,149,22650,3703
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,26056,6692
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,21155,4488
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,28577,6823
FRACTURES OF HIP & PELVIS W/O MCC,536,16518,4053
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,20086,4075
G.I. HEMORRHAGE W CC,378,27685,6038
G.I. HEMORRHAGE W MCC,377,45034,10209
G.I. HEMORRHAGE W/O CC/MCC,379,17805,4095
G.I. OBSTRUCTION W CC,389,20989,5577
G.I. OBSTRUCTION W/O CC/MCC,390,15163,3873
HEART FAILURE & SHOCK W CC,292,25882,6253
HEART FAILURE & SHOCK W MCC,291,41428,9917
HEART FAILURE & SHOCK W/O CC/MCC,293,20625,4247
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,44584,11375
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,67802,16290
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,36960,8946
HYPERTENSION W/O MCC,305,19948,3557
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,126155,38886
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,35684,6553
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,50800,10557
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,28212,5767
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,31308,7041
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,17812,4628
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,40796,9839
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,31514,7384
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,95219,21444
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,24476,7253
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,81876,18570
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,50651,13854
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,45148,14806
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,151091,37177
MEDICAL BACK PROBLEMS W/O MCC,552,21785,4692
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,35847,7311
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,17288,4031
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,32022,5593
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,45556,10774
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,25874,6103
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,23173,5541
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,36103,9177
OTHER VASCULAR PROCEDURES W CC,253,59434,14129
OTHER VASCULAR PROCEDURES W MCC,252,83085,20576
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,43518,12626
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,187416,43939
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,99963,16134
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,68621,13164
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,56701,12382
PERIPHERAL VASCULAR DISORDERS W CC,300,22698,5417
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,15029,3986
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,74565,18710
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,68615,12188
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,45071,7882
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,13845,3549
PSYCHOSES,885,19503,5236
PULMONARY EDEMA & RESPIRATORY FAILURE,189,38868,8172
PULMONARY EMBOLISM W/O MCC,176,29899,6596
RED BLOOD CELL DISORDERS W MCC,811,35657,7316
RED BLOOD CELL DISORDERS W/O MCC,812,18849,4732
RENAL FAILURE W CC,683,25026,5824
RENAL FAILURE W MCC,682,44172,9750
RENAL FAILURE W/O CC/MCC,684,16160,3747
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,33328,9266
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,43773,11203
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,136984,37566
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,71580,14000
SEIZURES W/O MCC,101,22217,4440
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,162578,52608
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,50837,11237
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,28084,8083
SIGNS & SYMPTOMS W/O MCC,948,17267,3865
SIMPLE PNEUMONIA & PLEURISY W CC,194,24439,6079
SIMPLE PNEUMONIA & PLEURISY W MCC,193,40510,9109
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,16380,4776
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,77893,23408
SYNCOPE & COLLAPSE,312,22324,4149
TRANSIENT ISCHEMIA,069,25206,4480
