description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,19834,7540
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11851,3480
CELLULITIS W/O MCC,603,14549,4920
CHEST PAIN,313,14422,3297
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,21210,6317
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,28682,7146
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,16049,4671
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,15388,4389
G.I. HEMORRHAGE W CC,378,17994,5502
HEART FAILURE & SHOCK W CC,292,18544,5884
HEART FAILURE & SHOCK W MCC,291,25294,8565
HEART FAILURE & SHOCK W/O CC/MCC,293,14525,4004
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,14984,4824
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,14943,4775
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,38093,12613
MEDICAL BACK PROBLEMS W/O MCC,552,11577,4766
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,14932,4163
PULMONARY EDEMA & RESPIRATORY FAILURE,189,23970,6996
RED BLOOD CELL DISORDERS W/O MCC,812,15874,4669
RENAL FAILURE W CC,683,15437,5604
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,30815,8755
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,38649,12033
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,20077,11435
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,17139,6861
SIGNS & SYMPTOMS W/O MCC,948,14979,4118
SIMPLE PNEUMONIA & PLEURISY W CC,194,21195,6531
SIMPLE PNEUMONIA & PLEURISY W MCC,193,24861,8302
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,16326,4254
SYNCOPE & COLLAPSE,312,14694,4220
