description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,17045,6069
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,15654,4517
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,9882,5277
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,14016,4856
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,21387,7326
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9551,3385
CELLULITIS W MCC,602,31969,8560
CELLULITIS W/O MCC,603,16765,5084
CHEST PAIN,313,11256,3262
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,22420,6255
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,28448,9167
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,17032,4274
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,24310,6454
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,11348,5218
DIABETES W CC,638,19064,5249
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,25530,5995
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,33063,7442
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,17957,4241
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,25897,6042
FRACTURES OF HIP & PELVIS W/O MCC,536,10878,4270
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,11301,4136
G.I. HEMORRHAGE W CC,378,20974,6611
G.I. HEMORRHAGE W MCC,377,52695,12042
G.I. HEMORRHAGE W/O CC/MCC,379,16115,4127
G.I. OBSTRUCTION W CC,389,31630,6015
G.I. OBSTRUCTION W/O CC/MCC,390,15752,4526
HEART FAILURE & SHOCK W CC,292,18360,6125
HEART FAILURE & SHOCK W MCC,291,35746,9483
HEART FAILURE & SHOCK W/O CC/MCC,293,12577,4335
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,39279,10903
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,39512,9098
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,24036,7331
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,31731,10881
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,14394,6361
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,22431,7167
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13738,4742
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,25938,7386
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,59606,17479
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,44264,12777
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,86639,33176
MEDICAL BACK PROBLEMS W/O MCC,552,23070,5217
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,15812,6372
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,14725,4279
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,30805,10415
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,31907,6663
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,13219,5729
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,20578,8839
PERIPHERAL VASCULAR DISORDERS W CC,300,25104,6431
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,10393,3925
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,31294,11628
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,11788,3714
PSYCHOSES,885,11412,5538
PULMONARY EDEMA & RESPIRATORY FAILURE,189,30047,9077
PULMONARY EMBOLISM W/O MCC,176,25634,6057
RED BLOOD CELL DISORDERS W/O MCC,812,13500,4724
RENAL FAILURE W CC,683,16987,6058
RENAL FAILURE W MCC,682,30375,9638
RENAL FAILURE W/O CC/MCC,684,13073,3914
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,32793,9111
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,42965,12771
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,59630,16231
SEIZURES W/O MCC,101,13328,4535
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,45774,12449
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,21699,7036
SIMPLE PNEUMONIA & PLEURISY W CC,194,21952,6011
SIMPLE PNEUMONIA & PLEURISY W MCC,193,39541,9952
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,18043,4534
SYNCOPE & COLLAPSE,312,13674,4257
TRANSIENT ISCHEMIA,069,13402,4340
