description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,18441,6871
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,34993,10617
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,18547,4652
ATHEROSCLEROSIS W/O MCC,303,11062,3365
BRONCHITIS & ASTHMA W CC/MCC,202,15416,4832
BRONCHITIS & ASTHMA W/O CC/MCC,203,11188,3508
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,13052,4838
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,22272,7315
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8457,3405
CELLULITIS W MCC,602,32106,8471
CELLULITIS W/O MCC,603,14475,4937
CHEST PAIN,313,8309,3171
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,16283,6366
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,24270,7009
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,12836,4390
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,22013,6769
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,18613,5903
DIABETES W CC,638,18252,5110
DYSEQUILIBRIUM,149,14642,3999
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,17788,6844
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,12163,4164
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,25106,6151
FRACTURES OF HIP & PELVIS W/O MCC,536,13202,4121
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,12173,4127
G.I. HEMORRHAGE W CC,378,14924,6032
G.I. HEMORRHAGE W MCC,377,39100,11308
G.I. HEMORRHAGE W/O CC/MCC,379,10771,4050
G.I. OBSTRUCTION W CC,389,19338,5678
G.I. OBSTRUCTION W/O CC/MCC,390,11002,3674
HEART FAILURE & SHOCK W CC,292,16622,5909
HEART FAILURE & SHOCK W MCC,291,25746,9156
HEART FAILURE & SHOCK W/O CC/MCC,293,12589,4017
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,31870,11062
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,51002,17842
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,26900,9066
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,60270,30999
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,26238,6791
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,34227,11572
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,22073,6156
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,23120,7307
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,14705,4440
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,30435,11098
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,64733,18950
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,15107,7162
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,33124,12510
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,42781,14793
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,75313,35660
MEDICAL BACK PROBLEMS W/O MCC,552,16617,4722
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,21259,6448
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12839,3933
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,12974,5586
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,28765,10166
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,13591,5821
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,16303,5710
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,26588,9061
OTHER VASCULAR PROCEDURES W CC,253,45148,13844
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,29094,9306
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,45667,12564
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,48537,10607
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,39415,10383
PERIPHERAL VASCULAR DISORDERS W CC,300,15056,5599
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,8986,3819
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,45544,15932
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,44189,11669
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,11963,3589
PSYCHOSES,885,14546,5214
PULMONARY EDEMA & RESPIRATORY FAILURE,189,26891,7488
PULMONARY EMBOLISM W/O MCC,176,22508,6417
RED BLOOD CELL DISORDERS W MCC,811,20599,7240
RED BLOOD CELL DISORDERS W/O MCC,812,12770,4864
RENAL FAILURE W CC,683,17843,5828
RENAL FAILURE W MCC,682,27372,9723
RENAL FAILURE W/O CC/MCC,684,13258,3802
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,24663,8546
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,35368,11901
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,56963,15101
SEIZURES W/O MCC,101,15434,4395
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,36218,11073
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,22283,6836
SIGNS & SYMPTOMS W/O MCC,948,13398,4826
SIMPLE PNEUMONIA & PLEURISY W CC,194,17467,5919
SIMPLE PNEUMONIA & PLEURISY W MCC,193,25004,9013
