city,avgCoveredCharges,averagePayments
ANDERSON,21940,8119
AVON,24816,6890
BEECH GROVE,21367,6875
BLOOMINGTON,20483,7052
BLUFFTON,27254,6489
CARMEL,27008,7206
CHARLESTOWN,20897,6779
CLARKSVILLE,26044,5706
COLUMBIA CITY,16673,8448
COLUMBUS,13596,7244
CONNERSVILLE,14711,7274
CRAWFORDSVILLE,18103,7725
CROWN POINT,24270,7009
DANVILLE,17956,6663
DYER,33009,7447
EAST CHICAGO,19714,7748
ELKHART,16188,6556
EVANSVILLE,21847,7056
FORT WAYNE,26293,7338
FRANKLIN,19085,6935
GARY,18833,8037
GOSHEN,19566,6445
GREENFIELD,19333,6887
HAMMOND,23502,8086
HOBART,21403,7176
HUNTINGTON,20013,9477
INDIANAPOLIS,23947,8462
JASPER,9426,6190
JEFFERSONVILLE,20726,6820
KENDALLVILLE,17894,7921
KNOX,19027,7394
KOKOMO,20636,6774
LA PORTE,27674,6383
LAFAYETTE,21939,6845
LAWRENCEBURG,21069,6644
LEBANON,15850,7814
LOGANSPORT,18640,9111
MADISON,16700,6570
MARION,14682,7302
MARTINSVILLE,25613,7003
MICHIGAN CITY,22569,7189
MISHAWAKA,20524,7767
MOORESVILLE,19147,6737
MUNCIE,29706,7668
MUNSTER,22954,7164
NEW ALBANY,19611,6467
NEW CASTLE,26477,8289
NOBLESVILLE,18085,6444
RICHMOND,12932,7543
SEYMOUR,16558,6922
SOUTH BEND,28324,7948
TERRE HAUTE,27636,7225
VALPARAISO,26844,7163
VINCENNES,14142,6117
WARSAW,33488,6691
WASHINGTON,8806,6331
