city,avgCoveredCharges,averagePayments
BEECH GROVE,85758,26766
BLOOMINGTON,95931,26890
CARMEL,113772,24382
COLUMBUS,68398,27644
CROWN POINT,147671,79327
DYER,59850,22290
EVANSVILLE,79175,22347
FORT WAYNE,127157,29610
FRANKLIN,76709,30390
FT WAYNE,85783,21734
GARY,102702,27263
HOBART,88458,24674
INDIANAPOLIS,99061,29381
JEFFERSONVILLE,53424,21627
KOKOMO,88176,24288
LA PORTE,113839,28501
LAFAYETTE,147479,38829
MICHIGAN CITY,107407,26719
MISHAWAKA,119190,29614
MUNCIE,98269,30448
MUNSTER,54886,23297
NEW ALBANY,48227,21190
RICHMOND,64468,26440
SOUTH BEND,134776,32307
TERRE HAUTE,63508,23694
VALPARAISO,170995,29230
