city,avgCoveredCharges,averagePayments
ANDERSON,21638,7069
AUBURN,13491,5124
AVON,28424,7793
BEECH GROVE,28896,8454
BLOOMINGTON,29887,9707
BLUFFTON,21423,5752
CARMEL,32923,8984
CHARLESTOWN,10566,4428
CLARKSVILLE,25010,6358
COLUMBIA CITY,13758,5697
COLUMBUS,20249,8454
CONNERSVILLE,15843,6754
CRAWFORDSVILLE,18775,5513
CROWN POINT,26415,9471
DANVILLE,21388,7382
DYER,30930,8582
EAST CHICAGO,21748,8808
ELKHART,24692,7852
EVANSVILLE,30783,8348
FORT WAYNE,36175,9372
FRANKLIN,21547,7438
FT WAYNE,55318,12399
GARY,30094,10470
GOSHEN,24996,7329
GREENFIELD,17440,6763
HAMMOND,30681,10102
HOBART,25229,8538
HUNTINGTON,17407,7187
INDIANAPOLIS,32973,10589
JASPER,15868,8014
JEFFERSONVILLE,21861,8280
KENDALLVILLE,17191,7133
KNOX,17311,5699
KOKOMO,29231,8804
LA PORTE,34565,7525
LAFAYETTE,34297,9368
LAWRENCEBURG,18043,6165
LEBANON,20478,7088
LOGANSPORT,18964,8397
MADISON,17741,6294
MARION,19506,8206
MARTINSVILLE,21707,5982
MICHIGAN CITY,25368,8293
MISHAWAKA,29160,9676
MOORESVILLE,23861,7357
MUNCIE,36082,9968
MUNSTER,28156,9188
NEW ALBANY,26951,8450
NEW CASTLE,21552,6853
NEWBURGH,24792,7075
NOBLESVILLE,24358,7441
PLYMOUTH,18037,7319
RICHMOND,19687,9676
SEYMOUR,17411,7029
SHELBYVILLE,21070,7024
SOUTH BEND,34399,9682
TERRE HAUTE,35225,9145
VALPARAISO,40414,9087
VINCENNES,18760,7513
WARSAW,28601,6071
WASHINGTON,10430,5815
