description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,50006,12773
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,25972,8160
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,18996,5138
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,21866,7369
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,13091,3775
CELLULITIS W/O MCC,603,17369,5016
CHEST PAIN,313,14011,3668
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,25892,6104
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,33009,7447
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,14866,4597
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,48524,12645
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,32722,8129
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,26009,5481
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,17437,6275
DIABETES W CC,638,18904,4859
DYSEQUILIBRIUM,149,15495,4123
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,19425,6905
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14922,4450
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,23861,6066
G.I. HEMORRHAGE W CC,378,24632,6160
G.I. HEMORRHAGE W/O CC/MCC,379,13130,4278
G.I. OBSTRUCTION W CC,389,15052,5485
HEART FAILURE & SHOCK W CC,292,18325,6174
HEART FAILURE & SHOCK W MCC,291,29290,8804
HEART FAILURE & SHOCK W/O CC/MCC,293,12467,4213
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,39478,11062
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,31346,9173
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,108788,42814
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,27938,7068
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,37276,10954
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,21357,5060
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,45353,7723
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,18378,4856
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,28052,7682
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,36918,12830
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,54680,15455
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,99950,30472
MEDICAL BACK PROBLEMS W/O MCC,552,20197,5397
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,27254,6836
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,14172,4446
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,19422,5661
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,53611,10822
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,19314,5944
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,31318,9426
OTHER VASCULAR PROCEDURES W CC,253,63534,14667
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,40738,10304
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,61726,12152
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,59737,12528
PERIPHERAL VASCULAR DISORDERS W CC,300,19114,5854
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,8720,3755
PULMONARY EDEMA & RESPIRATORY FAILURE,189,35088,7784
RED BLOOD CELL DISORDERS W/O MCC,812,15551,4751
RENAL FAILURE W CC,683,22514,6320
RENAL FAILURE W MCC,682,63133,13170
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,23462,8673
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,56348,12099
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,44320,13488
SEIZURES W/O MCC,101,13546,4689
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,37246,11405
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,22788,7318
SIGNS & SYMPTOMS W/O MCC,948,11487,3942
SIMPLE PNEUMONIA & PLEURISY W CC,194,29343,6043
SIMPLE PNEUMONIA & PLEURISY W MCC,193,38646,8661
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,15573,4572
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,59850,22290
SYNCOPE & COLLAPSE,312,13693,4287
TRANSIENT ISCHEMIA,069,16077,4484
