description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,22515,7661
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,33553,10329
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,19426,4565
ATHEROSCLEROSIS W/O MCC,303,9507,3619
BRONCHITIS & ASTHMA W CC/MCC,202,11699,4822
BRONCHITIS & ASTHMA W/O CC/MCC,203,9227,3491
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,14378,5023
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,24039,7266
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10478,3467
CELLULITIS W MCC,602,25581,8772
CELLULITIS W/O MCC,603,15036,5409
CHEST PAIN,313,9451,3612
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,14280,5830
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,16188,6556
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,10235,4292
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,51160,11493
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,24958,6904
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,18358,4962
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,18235,5580
DIABETES W CC,638,15646,4715
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,14343,5790
DYSEQUILIBRIUM,149,12074,3684
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,21523,6631
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14880,4366
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,28873,6809
G.I. HEMORRHAGE W CC,378,19687,6221
G.I. HEMORRHAGE W MCC,377,30586,10003
G.I. HEMORRHAGE W/O CC/MCC,379,14232,4108
G.I. OBSTRUCTION W CC,389,18805,5394
HEART FAILURE & SHOCK W CC,292,17355,5913
HEART FAILURE & SHOCK W MCC,291,23676,8315
HEART FAILURE & SHOCK W/O CC/MCC,293,12549,3946
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,41005,11296
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,38858,13701
HYPERTENSION W/O MCC,305,11210,3710
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,17355,6489
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,29030,10649
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,16409,4979
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,20971,6661
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,12252,4578
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,26675,6726
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,16635,7133
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,51844,13743
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,56084,18098
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,113206,38389
MEDICAL BACK PROBLEMS W/O MCC,552,12828,4869
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,37698,9077
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12374,4106
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,21775,5721
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,29968,9272
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,78106,18266
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,51515,13932
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,42979,16681
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,50774,14042
PERIPHERAL VASCULAR DISORDERS W CC,300,15264,9251
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,53568,15210
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,10938,3804
