description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,25642,6621
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,37008,10059
ATHEROSCLEROSIS W/O MCC,303,14019,3243
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,29379,5844
BRONCHITIS & ASTHMA W CC/MCC,202,15311,4682
BRONCHITIS & ASTHMA W/O CC/MCC,203,9799,3955
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,15746,4741
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,19234,7568
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11698,3277
CELLULITIS W MCC,602,22265,7634
CELLULITIS W/O MCC,603,14566,4604
CERVICAL SPINAL FUSION W/O CC/MCC,473,49950,11876
CHEST PAIN,313,14548,3110
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,15979,5486
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,20024,7829
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,12008,4139
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,41915,11588
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,32947,6191
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,14197,5101
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,15000,4969
DIABETES W CC,638,15171,5063
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,25635,5665
DYSEQUILIBRIUM,149,16009,3568
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,22453,7123
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,16981,4274
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,22383,5657
FRACTURES OF HIP & PELVIS W/O MCC,536,13309,3782
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,16244,3927
G.I. HEMORRHAGE W CC,378,19807,5674
G.I. HEMORRHAGE W MCC,377,26918,9591
G.I. HEMORRHAGE W/O CC/MCC,379,12775,3971
G.I. OBSTRUCTION W CC,389,16677,5099
G.I. OBSTRUCTION W/O CC/MCC,390,14681,3538
HEART FAILURE & SHOCK W CC,292,19118,5679
HEART FAILURE & SHOCK W MCC,291,26789,8174
HEART FAILURE & SHOCK W/O CC/MCC,293,12232,3834
