description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,34401,7828
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,49446,10264
ATHEROSCLEROSIS W/O MCC,303,20869,3193
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,24419,4596
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,23024,6663
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,14710,3107
CELLULITIS W/O MCC,603,25666,4541
CHEST PAIN,313,16900,2989
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,23251,5244
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,27674,6383
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,17891,4229
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,35307,5921
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,19974,4913
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,27608,4640
FRACTURES OF HIP & PELVIS W/O MCC,536,19587,3883
G.I. HEMORRHAGE W CC,378,22793,5504
G.I. HEMORRHAGE W MCC,377,50268,10898
G.I. HEMORRHAGE W/O CC/MCC,379,18630,3871
G.I. OBSTRUCTION W CC,389,23819,4771
HEART FAILURE & SHOCK W CC,292,22828,5482
HEART FAILURE & SHOCK W MCC,291,39339,9219
HEART FAILURE & SHOCK W/O CC/MCC,293,17069,3699
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,57632,13312
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,48297,9920
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,20348,6152
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,38683,9615
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,17858,4443
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,27684,6258
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,19176,4276
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,83286,17988
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,28553,6801
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,64728,12531
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,75008,14597
MEDICAL BACK PROBLEMS W/O MCC,552,15702,4451
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,26258,6193
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,19153,3741
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,25756,5405
OTHER VASCULAR PROCEDURES W CC,253,80389,15021
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,72051,10466
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,59757,12133
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,54981,13768
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,18718,7740
PSYCHOSES,885,19249,4923
PULMONARY EDEMA & RESPIRATORY FAILURE,189,27981,6917
PULMONARY EMBOLISM W/O MCC,176,27636,7262
RED BLOOD CELL DISORDERS W/O MCC,812,24470,4297
RENAL FAILURE W CC,683,25148,5526
RENAL FAILURE W MCC,682,45381,9669
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,29502,7073
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,52683,10569
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,51919,12380
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,56883,12305
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,31266,6031
SIGNS & SYMPTOMS W/O MCC,948,19347,3750
SIMPLE PNEUMONIA & PLEURISY W CC,194,25942,5615
SIMPLE PNEUMONIA & PLEURISY W MCC,193,39561,7990
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,19427,3801
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,113839,28501
SYNCOPE & COLLAPSE,312,20260,3953
TRANSIENT ISCHEMIA,069,13881,4304
