city,avgCoveredCharges,averagePayments
COFFEYVILLE,10879,5246
DODGE CITY,20482,6327
EL DORADO,24225,6433
EMPORIA,16727,6176
FORT SCOTT,21074,6576
GREAT BEND,13954,5572
HAYS,21291,6979
HUTCHINSON,16605,6465
INDEPENDENCE,26564,6333
KANSAS CITY,25558,6807
LAWRENCE,15269,5999
LEAVENWORTH,20084,5591
MANHATTAN,15071,5442
MCPHERSON,11719,7311
NEWTON,14118,5207
OLATHE,24992,5621
OVERLAND PARK,31847,6182
PARSONS,13966,6179
PITTSBURG,20326,5911
PRATT,12498,7888
SALINA,17619,6136
SHAWNEE MISSION,28465,5646
TOPEKA,18377,5891
WICHITA,25829,5951
