city,avgCoveredCharges,averagePayments
ANDOVER,21718,7613
ARKANSAS CITY,10780,7000
BURLINGTON,8641,8047
COFFEYVILLE,12615,6099
DODGE CITY,23961,7230
EL DORADO,22440,7420
ELKHART,6904,6615
EMPORIA,15652,6353
FORT SCOTT,27490,6358
GARDEN CITY,26748,12918
GREAT BEND,15746,6020
HAYS,43490,12127
HUTCHINSON,26219,8613
INDEPENDENCE,26166,7766
JUNCTION CITY,16776,5826
KANSAS CITY,46605,10999
LAWRENCE,19400,8027
LEAVENWORTH,20399,5469
LEAWOOD,37536,9926
LIBERAL,20816,8534
MANHATTAN,22094,6979
MCPHERSON,10386,6403
MOUNDRIDGE,5224,4278
NEWTON,22063,6997
OLATHE,28081,7864
OTTAWA,16068,6416
OVERLAND PARK,41483,7518
PAOLA,15804,7770
PARSONS,15196,7195
PITTSBURG,23621,7044
PRATT,14931,8800
SALINA,29317,8686
SHAWNEE MISSION,40298,7627
TOPEKA,32452,9054
ULYSSES,14686,8248
WELLINGTON,8424,5561
WICHITA,37639,9126
