description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,24233,7121
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,18826,5330
BRONCHITIS & ASTHMA W CC/MCC,202,14573,6061
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,14704,5346
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,18990,7888
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8469,3649
CELLULITIS W/O MCC,603,17828,5404
CHEST PAIN,313,14773,3848
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,18717,6286
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,20185,7964
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,14344,4701
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,22949,7306
DIABETES W CC,638,14734,5186
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,24168,7383
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14360,4759
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,19811,6588
FRACTURES OF HIP & PELVIS W/O MCC,536,10699,4502
G.I. HEMORRHAGE W CC,378,16605,6465
G.I. HEMORRHAGE W MCC,377,27965,11213
G.I. HEMORRHAGE W/O CC/MCC,379,11552,4568
G.I. OBSTRUCTION W CC,389,24382,6190
G.I. OBSTRUCTION W/O CC/MCC,390,13016,4106
HEART FAILURE & SHOCK W CC,292,17767,6585
HEART FAILURE & SHOCK W MCC,291,27790,9992
HEART FAILURE & SHOCK W/O CC/MCC,293,14107,4381
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,30176,11928
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,28618,9618
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,22510,7337
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,17027,5941
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13676,4946
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,78341,22846
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,27360,8286
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,58660,20958
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,38235,14060
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,42909,16447
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,67218,32943
MEDICAL BACK PROBLEMS W/O MCC,552,20738,5524
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,25131,7499
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12146,4421
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,19971,6544
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,32502,11985
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,18223,6353
OTHER VASCULAR PROCEDURES W CC,253,69588,17712
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,42109,11213
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,65954,21223
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,49658,12893
PERIPHERAL VASCULAR DISORDERS W CC,300,26281,6249
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,12443,4260
PULMONARY EDEMA & RESPIRATORY FAILURE,189,26465,8752
PULMONARY EMBOLISM W/O MCC,176,24698,6892
RED BLOOD CELL DISORDERS W MCC,811,31655,8664
RED BLOOD CELL DISORDERS W/O MCC,812,23681,5086
RENAL FAILURE W CC,683,19898,6678
RENAL FAILURE W MCC,682,32438,10270
RENAL FAILURE W/O CC/MCC,684,12248,4211
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,28934,10098
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,39522,13232
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,51644,16426
SEIZURES W/O MCC,101,19834,4870
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,38330,12965
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,21146,7366
SIGNS & SYMPTOMS W/O MCC,948,16252,4419
SIMPLE PNEUMONIA & PLEURISY W CC,194,25386,6767
SIMPLE PNEUMONIA & PLEURISY W MCC,193,36141,10326
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,17303,4691
SYNCOPE & COLLAPSE,312,14248,4844
TRANSIENT ISCHEMIA,069,14049,4673
