description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,26373,8002
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,46593,11467
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,20469,5145
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,14203,3622
ATHEROSCLEROSIS W/O MCC,303,16846,3162
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,19006,5378
BRONCHITIS & ASTHMA W CC/MCC,202,21152,4569
BRONCHITIS & ASTHMA W/O CC/MCC,203,14498,3298
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,17423,4549
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,26191,6693
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,13429,3176
CELLULITIS W/O MCC,603,17909,4497
CHEST PAIN,313,16904,2983
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,22915,5262
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,25713,6495
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,18930,3915
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,22412,6245
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,15159,4768
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,17793,5473
DYSEQUILIBRIUM,149,12984,3466
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,26176,6766
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,17620,4045
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,11874,5548
FRACTURES OF HIP & PELVIS W/O MCC,536,13978,3804
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,14260,3750
G.I. HEMORRHAGE W CC,378,24992,5621
G.I. HEMORRHAGE W MCC,377,32073,9076
G.I. HEMORRHAGE W/O CC/MCC,379,11646,3876
G.I. OBSTRUCTION W CC,389,15267,5180
G.I. OBSTRUCTION W/O CC/MCC,390,13684,3621
HEART FAILURE & SHOCK W CC,292,22582,5435
HEART FAILURE & SHOCK W MCC,291,29970,7809
HEART FAILURE & SHOCK W/O CC/MCC,293,16374,3671
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,31620,9993
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,69363,17613
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,29389,8329
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,92332,29691
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,21849,6217
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,35220,9827
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,16009,4337
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,22776,6210
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,15715,4292
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,32178,9327
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,22005,6345
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,45050,16721
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,45463,17313
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,29430,11625
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,53025,14839
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,99157,29867
MEDICAL BACK PROBLEMS W/O MCC,552,18926,4524
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,22366,6137
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,14335,3647
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,58459,10088
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,24758,6406
OTHER VASCULAR PROCEDURES W CC,253,36625,15046
OTHER VASCULAR PROCEDURES W MCC,252,81587,20033
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,38510,10834
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,39087,9728
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,49092,9770
PERIPHERAL VASCULAR DISORDERS W CC,300,22714,5093
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,41710,14009
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,34492,11659
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,19048,7709
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,11118,3358
PULMONARY EDEMA & RESPIRATORY FAILURE,189,28101,6948
PULMONARY EMBOLISM W/O MCC,176,22264,5686
RED BLOOD CELL DISORDERS W/O MCC,812,17328,4819
RENAL FAILURE W CC,683,23414,6090
RENAL FAILURE W MCC,682,29026,8647
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,28854,7698
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,39707,10837
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,37414,12275
SEIZURES W/O MCC,101,16646,4133
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,36804,10207
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,26122,6676
SIGNS & SYMPTOMS W/O MCC,948,15095,3894
SIMPLE PNEUMONIA & PLEURISY W CC,194,23962,5530
SIMPLE PNEUMONIA & PLEURISY W MCC,193,27187,7669
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,16813,3886
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,51495,20998
SYNCOPE & COLLAPSE,312,15166,3917
TRANSIENT ISCHEMIA,069,16452,3966
