description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,11981,4867
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,10238,6952
CHEST PAIN,313,7173,3401
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,11621,5731
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,11796,7048
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,7920,4243
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,10533,4410
G.I. HEMORRHAGE W CC,378,13966,6179
G.I. OBSTRUCTION W/O CC/MCC,390,9096,3770
HEART FAILURE & SHOCK W CC,292,11407,5734
HEART FAILURE & SHOCK W MCC,291,19979,9004
HEART FAILURE & SHOCK W/O CC/MCC,293,9799,4121
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,21758,10932
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,18310,9210
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,10078,4730
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,40430,18570
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,32660,12955
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,8118,4113
RENAL FAILURE W MCC,682,14688,9624
SEIZURES W/O MCC,101,10536,4582
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,23675,11190
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,17347,6943
SIMPLE PNEUMONIA & PLEURISY W CC,194,12722,5882
SIMPLE PNEUMONIA & PLEURISY W MCC,193,18883,8481
