description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,53867,10790
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,26580,6221
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,23774,4895
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,15945,3615
CELLULITIS W/O MCC,603,19571,5019
CERVICAL SPINAL FUSION W/O CC/MCC,473,45028,12151
CHEST PAIN,313,15628,3618
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,24328,5638
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,23508,7017
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,21839,4217
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,23025,5284
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,25381,5888
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,20775,4349
G.I. HEMORRHAGE W CC,378,27252,5883
G.I. OBSTRUCTION W CC,389,21702,5229
HEART FAILURE & SHOCK W CC,292,24704,5911
HEART FAILURE & SHOCK W MCC,291,41497,8711
HEART FAILURE & SHOCK W/O CC/MCC,293,15003,4249
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,36817,10554
HYPERTENSION W/O MCC,305,19074,3583
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,28498,6710
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,30001,5004
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,22116,4522
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,71276,21410
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,41012,12244
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,69241,15564
MEDICAL BACK PROBLEMS W/O MCC,552,18799,4791
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,20192,3994
PULMONARY EDEMA & RESPIRATORY FAILURE,189,24761,7797
PULMONARY EMBOLISM W/O MCC,176,23138,5949
RED BLOOD CELL DISORDERS W/O MCC,812,19529,6382
RENAL FAILURE W CC,683,26928,5981
RENAL FAILURE W MCC,682,46297,10627
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,50658,13297
SEIZURES W/O MCC,101,31474,4870
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,50357,12453
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,33285,6698
SIGNS & SYMPTOMS W/O MCC,948,13861,4043
SIMPLE PNEUMONIA & PLEURISY W CC,194,30774,6163
SIMPLE PNEUMONIA & PLEURISY W MCC,193,37512,9080
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,20055,4290
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,75182,23274
SYNCOPE & COLLAPSE,312,21265,4243
TRANSIENT ISCHEMIA,069,29347,4267
