city,avgCoveredCharges,averagePayments
ASHLAND,14461,4345
BOWLING GREEN,17868,4805
CAMPBELLSVILLE,9747,4285
CORBIN,14916,4469
COVINGTON,13574,4373
DANVILLE,9465,4305
ELIZABETHTOWN,8871,3973
FLORENCE,10592,4360
FORT THOMAS,13228,4195
FRANKFORT,19331,4312
GEORGETOWN,7939,4108
GLASGOW,9839,4484
HARLAN,9835,4307
HAZARD,14709,4434
HENDERSON,16631,4863
HOPKINSVILLE,14393,4196
JACKSON,15231,3883
LA GRANGE,9765,4028
LEXINGTON,15542,4801
LONDON,19466,4480
LOUISA,20364,3955
LOUISVILLE,16954,4641
MADISONVILLE,17006,4412
MANCHESTER,15893,4989
MARION,7217,4034
MAYFIELD,10040,4054
MAYSVILLE,9177,3931
MIDDLESBORO,15477,4197
MOREHEAD,14889,5071
MOUNT VERNON,10553,4894
MURRAY,12507,3847
OWENSBORO,9807,4989
PADUCAH,12728,3791
PAINTSVILLE,30217,4042
PIKEVILLE,22844,5199
PINEVILLE,6158,3914
PRESTONSBURG,12100,4735
RICHMOND,8433,4805
RUSSELLVILLE,12244,4159
SOMERSET,17989,4677
SOUTH WILLIAMSO,13025,4266
WHITESBURG,10858,3914
WINCHESTER,11603,4911
