city,avgCoveredCharges,averagePayments
ALBANY,8741,4954
ASHLAND,24727,8542
BARDSTOWN,21592,8965
BOWLING GREEN,25097,7763
CAMPBELLSVILLE,16449,6904
COLUMBIA,13446,6590
CORBIN,20387,6765
COVINGTON,25019,8385
CYNTHIANA,10954,6620
DANVILLE,20212,8395
ELIZABETHTOWN,14822,7216
FLEMINGSBURG,13184,6048
FLORENCE,21796,7617
FORT THOMAS,21735,7176
FRANKFORT,27999,6889
FULTON,18027,4630
GEORGETOWN,16673,5705
GLASGOW,17425,8561
GREENVILLE,13689,5357
HARLAN,13759,5536
HAZARD,26710,7922
HENDERSON,21634,6782
HOPKINSVILLE,18047,6731
JACKSON,22144,4786
LA GRANGE,13867,5897
LEBANON,18954,6762
LEITCHFIELD,18919,7192
LEXINGTON,29579,10367
LONDON,25774,8720
LOUISA,23724,4997
LOUISVILLE,29747,9008
MADISONVILLE,21391,8404
MANCHESTER,23221,7560
MARION,8727,5399
MAYFIELD,18894,6992
MAYSVILLE,20175,6533
MIDDLESBORO,15524,5363
MOREHEAD,18555,7679
MOUNT STERLING,14515,7767
MOUNT VERNON,9537,5743
MURRAY,17308,5631
OWENSBORO,21672,9988
PADUCAH,21297,6838
PAINTSVILLE,56454,6161
PARIS,10900,5661
PIKEVILLE,47606,11708
PINEVILLE,8373,4938
PRESTONSBURG,14715,6902
RICHMOND,17109,8942
RUSSELLVILLE,18656,5906
SHELBYVILLE,21944,7012
SOMERSET,30692,7845
SOUTH WILLIAMSO,14482,5410
TOMPKINSVILLE,9638,6232
WHITESBURG,15959,5138
WINCHESTER,13632,6895
