description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,15459,6642
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,16530,10352
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,9961,4616
ATHEROSCLEROSIS W/O MCC,303,7695,3593
BRONCHITIS & ASTHMA W CC/MCC,202,10581,5180
BRONCHITIS & ASTHMA W/O CC/MCC,203,7608,3749
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,10723,5161
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,6809,3494
CELLULITIS W/O MCC,603,9198,5087
CHEST PAIN,313,8087,3400
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,12262,6293
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,16071,7347
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,8653,4542
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,18346,6704
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,14236,6228
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,18429,6896
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,11385,4481
G.I. HEMORRHAGE W CC,378,17243,6281
G.I. HEMORRHAGE W MCC,377,26320,10163
G.I. OBSTRUCTION W CC,389,9453,5501
HEART FAILURE & SHOCK W CC,292,13019,6334
HEART FAILURE & SHOCK W MCC,291,13823,9009
HEART FAILURE & SHOCK W/O CC/MCC,293,9355,4206
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,13274,7207
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,14545,7172
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9358,4820
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,28729,7226
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,38144,14486
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,8620,4238
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,12272,6125
PERIPHERAL VASCULAR DISORDERS W CC,300,17506,6066
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,7003,4093
PULMONARY EDEMA & RESPIRATORY FAILURE,189,19878,8539
RED BLOOD CELL DISORDERS W MCC,811,16453,7588
RED BLOOD CELL DISORDERS W/O MCC,812,10643,4911
RENAL FAILURE W CC,683,11443,5901
RENAL FAILURE W MCC,682,19666,10076
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,21293,9852
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,30411,13054
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,62992,32158
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,28627,14890
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,69379,37192
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,24833,11698
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,21997,7165
SIGNS & SYMPTOMS W/O MCC,948,9121,4306
SIMPLE PNEUMONIA & PLEURISY W CC,194,13695,6321
SIMPLE PNEUMONIA & PLEURISY W MCC,193,22060,10533
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,9314,4325
SYNCOPE & COLLAPSE,312,12100,4735
TRANSIENT ISCHEMIA,069,10526,4504
