description,code,avgCoveredCharges,averagePayments
BRONCHITIS & ASTHMA W CC/MCC,202,8496,4625
BRONCHITIS & ASTHMA W/O CC/MCC,203,7127,3339
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,9296,5258
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,9855,6295
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,7040,3949
DIABETES W CC,638,6739,4522
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,6045,3938
HEART FAILURE & SHOCK W CC,292,8314,5444
HEART FAILURE & SHOCK W/O CC/MCC,293,6610,3763
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,6609,3797
RENAL FAILURE W CC,683,5973,5191
