city,avgCoveredCharges,averagePayments
ALEXANDRIA,18633,5214
BASTROP,10115,5065
BATON ROUGE,9929,5216
BOGALUSA,10036,4710
BOSSIER CITY,19568,4534
COVINGTON,21606,5019
DERIDDER,13928,4843
HAMMOND,39297,5328
HOUMA,21641,4763
JENNINGS,11536,4427
KENNER,32460,6083
LACOMBE,15430,4562
LAFAYETTE,15416,4718
LAKE CHARLES,20594,4812
LEESVILLE,19966,4596
MARRERO,19383,5338
METAIRIE,13920,4987
MINDEN,16965,5513
MONROE,16420,5034
MORGAN CITY,19240,5671
NATCHITOCHES,10917,5064
NEW IBERIA,22999,4627
NEW ORLEANS,19203,6190
OPELOUSAS,14162,5488
RUSTON,23154,4963
SHREVEPORT,18620,5376
SLIDELL,32982,4890
SULPHUR,12140,4416
THIBODAUX,14826,4407
VILLE PLATTE,20522,5344
WEST MONROE,23274,4829
WINNFIELD,20589,5117
ZACHARY,19912,4848
