city,avgCoveredCharges,averagePayments
ABBEVILLE,16105,6191
ALEXANDRIA,41541,9029
BASTROP,10695,6123
BATON ROUGE,22161,9304
BOGALUSA,12733,5493
BOSSIER CITY,25992,6844
CAMERON,4743,5876
COLUMBIA,7833,4911
COVINGTON,49992,8429
CROWLEY,7276,5627
DERIDDER,24600,5767
GONZALES,15066,7157
HAMMOND,66647,9105
HOMER,14125,5794
HOUMA,31701,8721
JENA,14583,6269
JENNINGS,15396,5598
KENNER,46480,10892
KINDER,5219,5420
LACOMBE,35270,7538
LAFAYETTE,32476,8649
LAKE CHARLES,37400,8542
LAKE PROVIDENCE,4364,4844
LAPLACE,26927,7231
LEESVILLE,29840,5499
LULING,14842,5669
MAMOU,24644,5304
MANSFIELD,9551,5279
MANY,7365,5078
MARKSVILLE,19345,5458
MARRERO,31258,8397
METAIRIE,27614,7799
MINDEN,21316,7931
MONROE,30100,9124
MORGAN CITY,24108,6466
NATCHITOCHES,13987,6195
NEW IBERIA,32089,7311
NEW ORLEANS,38851,10583
OAK GROVE,6744,4863
OAKDALE,20277,7811
OPELOUSAS,25117,9767
RAYVILLE,8450,5522
RUSTON,31363,6759
SHREVEPORT,30874,8770
SLIDELL,47219,8030
SPRINGHILL,8930,5555
SULPHUR,21933,6992
THIBODAUX,30804,7781
VILLE PLATTE,18502,6500
WEST MONROE,35273,7067
WINNFIELD,18754,5245
WINNSBORO,8179,5541
ZACHARY,27517,6460
