description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,29521,7069
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,58253,12467
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,15537,5512
ATHEROSCLEROSIS W/O MCC,303,11206,3455
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,28182,7928
BRONCHITIS & ASTHMA W CC/MCC,202,17248,5214
BRONCHITIS & ASTHMA W/O CC/MCC,203,14072,3603
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,15657,4973
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,25429,9044
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9402,3712
CELLULITIS W/O MCC,603,18225,6203
CERVICAL SPINAL FUSION W/O CC/MCC,473,63373,21671
CHEST PAIN,313,8113,3290
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,21275,5714
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,24096,6995
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,17073,5254
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,45705,12700
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,21767,8499
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,23128,5679
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,17397,6407
DIABETES W CC,638,14116,4965
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,23547,7025
DYSEQUILIBRIUM,149,11645,3783
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,24291,6843
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14152,4505
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,20048,6915
FRACTURES OF HIP & PELVIS W/O MCC,536,13137,4131
G.I. HEMORRHAGE W CC,378,20252,6255
G.I. HEMORRHAGE W MCC,377,35270,10556
G.I. HEMORRHAGE W/O CC/MCC,379,16374,5374
G.I. OBSTRUCTION W CC,389,14131,5719
G.I. OBSTRUCTION W/O CC/MCC,390,9626,4220
HEART FAILURE & SHOCK W CC,292,16884,6240
HEART FAILURE & SHOCK W MCC,291,32316,8748
HEART FAILURE & SHOCK W/O CC/MCC,293,10204,4032
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,45378,11880
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,38577,8882
HYPERTENSION W/O MCC,305,10311,3634
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,110333,42101
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,26332,8566
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,48460,11495
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,17747,5480
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,31053,7980
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,16491,4833
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,32314,13061
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,27522,8876
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,72842,23594
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,21786,7539
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,52248,14936
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,60444,16542
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,108482,29915
MEDICAL BACK PROBLEMS W/O MCC,552,15973,5017
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,23949,7127
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12536,4089
