description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,7286,4678
ATHEROSCLEROSIS W/O MCC,303,7730,3952
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,10917,5064
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9254,3427
CELLULITIS W/O MCC,603,8871,4786
CHEST PAIN,313,9480,3320
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,14477,5878
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,12626,7004
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11111,4354
DIABETES W CC,638,10560,5015
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,8701,4803
G.I. HEMORRHAGE W CC,378,15604,5974
G.I. HEMORRHAGE W/O CC/MCC,379,9271,3999
HEART FAILURE & SHOCK W CC,292,12410,6221
HEART FAILURE & SHOCK W MCC,291,20017,8854
HEART FAILURE & SHOCK W/O CC/MCC,293,8550,4384
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,16574,6941
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9287,4709
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,32938,13026
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,7734,4176
PERIPHERAL VASCULAR DISORDERS W CC,300,8583,5158
RED BLOOD CELL DISORDERS W/O MCC,812,10751,4805
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,20837,8510
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,34573,13038
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,25984,11247
SIMPLE PNEUMONIA & PLEURISY W CC,194,14945,6093
SIMPLE PNEUMONIA & PLEURISY W MCC,193,22993,8901
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,9654,4285
SYNCOPE & COLLAPSE,312,8060,4331
