description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,61143,11876
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,32355,4559
BRONCHITIS & ASTHMA W CC/MCC,202,20216,4567
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,22999,4627
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,14972,3095
CELLULITIS W/O MCC,603,18228,4330
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,22051,5099
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,27259,6243
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,15638,3762
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,32778,5469
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,23047,3927
G.I. HEMORRHAGE W CC,378,24874,5425
G.I. HEMORRHAGE W/O CC/MCC,379,18652,3719
G.I. OBSTRUCTION W/O CC/MCC,390,14802,3453
HEART FAILURE & SHOCK W CC,292,25732,5410
HEART FAILURE & SHOCK W MCC,291,27188,7550
HEART FAILURE & SHOCK W/O CC/MCC,293,15666,3624
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,43221,9827
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,78884,22665
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,31244,6178
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,19043,4230
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,19481,4086
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,21943,6505
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,43745,11374
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,64232,12967
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,22165,6046
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,16355,3726
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,67999,9716
PULMONARY EDEMA & RESPIRATORY FAILURE,189,34439,6965
RED BLOOD CELL DISORDERS W MCC,811,35233,6732
RED BLOOD CELL DISORDERS W/O MCC,812,17038,4313
RENAL FAILURE W CC,683,21824,5418
RENAL FAILURE W MCC,682,22276,8284
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,52851,12130
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,43783,9842
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,30747,6142
SIGNS & SYMPTOMS W/O MCC,948,25234,3721
SIMPLE PNEUMONIA & PLEURISY W CC,194,30652,5420
SIMPLE PNEUMONIA & PLEURISY W MCC,193,41323,7864
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,20860,3775
SYNCOPE & COLLAPSE,312,12597,3768
TRANSIENT ISCHEMIA,069,16791,3963
