description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,66822,15642
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,41782,6833
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,28416,7105
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,45887,10448
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,24169,4836
CELLULITIS W/O MCC,603,24822,6863
CHEST PAIN,313,21423,4671
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,35622,8246
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,41306,9827
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,19937,6110
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,159213,33291
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,64854,10653
DIABETES W CC,638,33354,7018
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,62796,8540
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,37415,9790
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,30424,6503
G.I. HEMORRHAGE W CC,378,45632,9154
G.I. HEMORRHAGE W MCC,377,75175,15074
HEART FAILURE & SHOCK W CC,292,27343,8702
HEART FAILURE & SHOCK W MCC,291,53318,11873
HEART FAILURE & SHOCK W/O CC/MCC,293,18953,5741
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,85758,16005
HYPERTENSION W/O MCC,305,19934,5198
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,309355,57688
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,75697,11039
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,149712,21390
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,42311,6949
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,58717,11710
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,28564,6469
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,83539,18125
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,109184,28323
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,28661,9464
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,28463,5819
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,91833,19651
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,39044,8422
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,68781,9876
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,82625,15150
OTHER VASCULAR PROCEDURES W MCC,252,136274,29511
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,108447,32120
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,97216,17244
PULMONARY EDEMA & RESPIRATORY FAILURE,189,62143,15177
RED BLOOD CELL DISORDERS W MCC,811,44583,12064
RED BLOOD CELL DISORDERS W/O MCC,812,28581,6982
RENAL FAILURE W CC,683,37970,8229
RENAL FAILURE W MCC,682,42701,14056
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,54808,13130
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,263838,53361
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,85923,21106
SEIZURES W/O MCC,101,26039,6519
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,249434,50506
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,85151,16596
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,46077,10489
SIMPLE PNEUMONIA & PLEURISY W CC,194,27214,8500
SIMPLE PNEUMONIA & PLEURISY W MCC,193,45631,12334
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,22350,6000
SYNCOPE & COLLAPSE,312,25268,6077
TRANSIENT ISCHEMIA,069,33940,6198
