description,code,avgCoveredCharges,averagePayments
ATHEROSCLEROSIS W/O MCC,303,8220,4094
BRONCHITIS & ASTHMA W CC/MCC,202,14856,5387
BRONCHITIS & ASTHMA W/O CC/MCC,203,11649,5139
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,20522,5344
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10705,3633
CELLULITIS W/O MCC,603,13077,5227
CHEST PAIN,313,8484,3514
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,16596,6110
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,22191,7703
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,12687,4912
DIABETES W CC,638,9822,5154
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14576,4709
G.I. HEMORRHAGE W CC,378,21685,6554
G.I. HEMORRHAGE W MCC,377,40218,11170
G.I. HEMORRHAGE W/O CC/MCC,379,14385,4486
G.I. OBSTRUCTION W CC,389,19150,7083
G.I. OBSTRUCTION W/O CC/MCC,390,13947,4118
HEART FAILURE & SHOCK W CC,292,15049,6399
HEART FAILURE & SHOCK W MCC,291,31530,9463
HEART FAILURE & SHOCK W/O CC/MCC,293,10665,4292
HYPERTENSION W/O MCC,305,8263,3876
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,16772,6856
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,33599,11843
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,16076,5191
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,23729,7798
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,14274,5038
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,42325,16030
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,36791,7475
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,22608,8389
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,48844,14372
MEDICAL BACK PROBLEMS W/O MCC,552,14017,5224
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,13600,7173
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,8348,4263
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,34827,11322
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,11217,4139
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,10325,3997
RED BLOOD CELL DISORDERS W/O MCC,812,10780,5068
RENAL FAILURE W CC,683,19649,6360
RENAL FAILURE W MCC,682,24790,10044
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,28972,9403
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,53666,14041
SEIZURES W/O MCC,101,16432,4429
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,35211,12317
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,19101,7630
SIMPLE PNEUMONIA & PLEURISY W CC,194,20174,6387
SIMPLE PNEUMONIA & PLEURISY W MCC,193,27117,10669
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,14813,4558
SYNCOPE & COLLAPSE,312,13213,5435
TRANSIENT ISCHEMIA,069,12115,4665
