description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,38582,9769
BRONCHITIS & ASTHMA W CC/MCC,202,23513,4840
BRONCHITIS & ASTHMA W/O CC/MCC,203,21026,3528
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,19912,4848
CELLULITIS W/O MCC,603,18665,4892
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,26419,5634
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,24100,6682
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,18761,4683
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,41245,6258
DIABETES W CC,638,15043,4672
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,20660,4155
G.I. HEMORRHAGE W CC,378,21727,5696
G.I. HEMORRHAGE W/O CC/MCC,379,16776,4053
HEART FAILURE & SHOCK W CC,292,20695,5270
HEART FAILURE & SHOCK W MCC,291,39147,8413
HEART FAILURE & SHOCK W/O CC/MCC,293,19550,3891
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,39309,10681
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,19538,6231
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,25655,6823
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,18964,4453
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,42504,12035
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,16333,4069
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,68473,11486
PERIPHERAL VASCULAR DISORDERS W CC,300,18633,5612
RED BLOOD CELL DISORDERS W MCC,811,24883,7269
RED BLOOD CELL DISORDERS W/O MCC,812,21919,4599
RENAL FAILURE W CC,683,20727,5780
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,38628,8459
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,45242,10830
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,23880,6471
SIMPLE PNEUMONIA & PLEURISY W CC,194,25354,5692
SIMPLE PNEUMONIA & PLEURISY W MCC,193,33446,8431
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,22994,4141
