description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,16057,10920
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,34432,18632
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,18527,8173
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,12908,7121
ATHEROSCLEROSIS W/O MCC,303,9505,6080
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,17655,10015
BRONCHITIS & ASTHMA W CC/MCC,202,10876,8763
BRONCHITIS & ASTHMA W/O CC/MCC,203,10236,6418
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,11227,8743
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,21494,13050
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,7653,5898
CELLULITIS W MCC,602,18033,15128
CELLULITIS W/O MCC,603,11340,8298
CERVICAL SPINAL FUSION W/O CC/MCC,473,31028,20358
CHEST PAIN,313,9976,5677
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,13133,9675
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,15094,11864
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,10198,7586
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,39165,20856
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,20098,11125
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,16490,9222
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,17842,9161
DIABETES W CC,638,12007,8279
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,16896,11343
DYSEQUILIBRIUM,149,14002,6717
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,16020,12122
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,12696,7828
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,16530,10300
FRACTURES OF HIP & PELVIS W/O MCC,536,14776,7352
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,12153,7494
G.I. HEMORRHAGE W CC,378,19316,10699
G.I. HEMORRHAGE W MCC,377,36060,19701
G.I. HEMORRHAGE W/O CC/MCC,379,12877,7544
G.I. OBSTRUCTION W CC,389,14761,10111
G.I. OBSTRUCTION W/O CC/MCC,390,10496,6902
HEART FAILURE & SHOCK W CC,292,14807,10349
HEART FAILURE & SHOCK W MCC,291,29415,15400
HEART FAILURE & SHOCK W/O CC/MCC,293,10483,7166
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,32749,18750
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,44232,28537
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,24120,15340
HYPERTENSION W/O MCC,305,10587,6428
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,119194,57285
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,24096,11788
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,39533,19637
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,18126,8307
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,18815,12238
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,10752,7710
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,25173,17182
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,19703,12011
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,55480,30350
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,17156,12577
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,44241,32269
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,28608,21065
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,39928,24561
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,87589,50046
MEDICAL BACK PROBLEMS W/O MCC,552,14385,8489
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,19215,11625
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,10407,7086
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,19061,10037
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,31016,18868
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,15532,10585
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,17122,10381
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,19179,15580
OTHER VASCULAR PROCEDURES W CC,253,48937,24521
OTHER VASCULAR PROCEDURES W MCC,252,76956,33121
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,37299,16120
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,50034,32104
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,29200,19406
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,29046,18204
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,41332,17827
PERIPHERAL VASCULAR DISORDERS W CC,300,14230,9721
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,19062,6445
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,38902,23476
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,21679,19754
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,36582,16248
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,11027,6560
PSYCHOSES,885,15954,11106
PULMONARY EDEMA & RESPIRATORY FAILURE,189,29381,13444
PULMONARY EMBOLISM W/O MCC,176,15939,10863
RED BLOOD CELL DISORDERS W MCC,811,20371,12948
RED BLOOD CELL DISORDERS W/O MCC,812,15012,8367
RENAL FAILURE W CC,683,11870,9953
RENAL FAILURE W MCC,682,21222,16463
RENAL FAILURE W/O CC/MCC,684,9374,7196
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,18437,13747
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,24460,19426
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,103349,53030
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,47754,23470
SEIZURES W/O MCC,101,28959,9084
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,120300,59017
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,38446,19856
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,18755,11721
SIGNS & SYMPTOMS W/O MCC,948,11917,7483
SIMPLE PNEUMONIA & PLEURISY W CC,194,14440,10399
SIMPLE PNEUMONIA & PLEURISY W MCC,193,25415,15340
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,9168,7306
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,36604,39062
SYNCOPE & COLLAPSE,312,11846,7479
TRANSIENT ISCHEMIA,069,17944,7649
