city,avgCoveredCharges,averagePayments
ATTLEBORO,10970,7046
BEVERLY,13118,7776
BOSTON,27373,11742
BRIGHTON,10353,11038
BROCKTON,11342,8529
BURLINGTON,11608,8417
CAMBRIDGE,12400,9815
FALL RIVER,17705,8408
FALMOUTH,9227,7581
FRAMINGHAM,12398,8052
HOLYOKE,12880,8091
HYANNIS,11853,9291
LAWRENCE,16137,8992
LEOMINSTER,20283,8032
LOWELL,13482,8420
MELROSE,10435,7808
METHUEN,16693,8937
MILFORD,12074,7418
MILTON,10926,6980
NEWBURYPORT,10264,7436
NEWTON,15765,6985
NORTHAMPTON,12817,6913
NORWOOD,7871,7075
PITTSFIELD,13090,8432
PLYMOUTH,9067,7483
SALEM,27803,8611
SOUTH WEYMOUTH,13829,7275
SPRINGFIELD,15721,8966
TAUNTON,9141,7461
W CONCORD,13328,6830
WINCHESTER,13681,9711
WORCESTER,22230,10411
