city,avgCoveredCharges,averagePayments
ATTLEBORO,15395,8534
AYER,13692,5952
BEVERLY,12133,7662
BOSTON,35423,13993
BRIGHTON,19397,13128
BROCKTON,13381,8971
BURLINGTON,16598,10661
CAMBRIDGE,15056,9616
CLINTON,15353,5178
FALL RIVER,17867,8615
FALMOUTH,16180,10084
FRAMINGHAM,14876,8626
GARDNER,12255,8061
GREENFIELD,17843,7170
HAVERHILL,13219,7112
HOLYOKE,11450,7388
HYANNIS,16740,10833
LAWRENCE,16453,9169
LEOMINSTER,18627,8537
LOWELL,15591,8771
MARLBOROUGH,15468,6306
MELROSE,11259,7289
METHUEN,16062,8070
MILFORD,16044,7434
MILTON,14269,7343
NANTUCKET,12245,5950
NEEDHAM,11666,6447
NEWBURYPORT,11625,6580
NEWTON,24971,8276
NORTH ADAMS,18116,8760
NORTHAMPTON,15371,6996
NORWOOD,11924,7458
PALMER,13195,5420
PITTSFIELD,18705,11144
PLYMOUTH,12475,7570
QUINCY,11848,7103
SALEM,29373,9148
SOUTH WEYMOUTH,15447,7395
SOUTHBRIDGE,11710,7035
SPRINGFIELD,21863,11204
TAUNTON,9601,7366
W CONCORD,18919,7717
WARE,10574,5682
WESTFIELD,13361,6120
WINCHESTER,9394,6838
WORCESTER,26101,11880
