description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,10529,6944
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,14477,11785
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,5987,4869
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,6003,3935
ATHEROSCLEROSIS W/O MCC,303,4992,3653
BRONCHITIS & ASTHMA W CC/MCC,202,6090,5279
BRONCHITIS & ASTHMA W/O CC/MCC,203,4656,3811
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,7031,5221
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,13619,8833
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,5053,3576
CELLULITIS W MCC,602,12713,9147
CELLULITIS W/O MCC,603,6206,5169
CHEST PAIN,313,4820,3489
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,7180,6061
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,9643,7403
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,5195,4664
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,8756,5607
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,5618,5483
DIABETES W CC,638,9429,5474
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,13496,6322
DYSEQUILIBRIUM,149,5795,4004
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,8217,7070
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,6976,4576
FRACTURES OF HIP & PELVIS W/O MCC,536,6321,4379
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,6206,4216
G.I. HEMORRHAGE W CC,378,8538,6359
G.I. HEMORRHAGE W MCC,377,15259,10678
G.I. HEMORRHAGE W/O CC/MCC,379,5139,4478
G.I. OBSTRUCTION W CC,389,9958,5855
G.I. OBSTRUCTION W/O CC/MCC,390,6784,3991
HEART FAILURE & SHOCK W CC,292,8561,6373
HEART FAILURE & SHOCK W MCC,291,10508,9043
HEART FAILURE & SHOCK W/O CC/MCC,293,6243,4238
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,19546,11743
HYPERTENSION W/O MCC,305,5378,3846
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,11187,7091
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,13068,10117
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,8764,5176
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,8559,7131
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,7206,4841
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,9485,7331
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,34127,19520
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,11152,8054
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,19156,13418
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,17702,15912
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,41903,30794
MEDICAL BACK PROBLEMS W/O MCC,552,7538,5109
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,13681,9711
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,6222,4299
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,7459,5632
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,8660,6653
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,7273,5953
OTHER VASCULAR PROCEDURES W CC,253,16517,15048
OTHER VASCULAR PROCEDURES W MCC,252,14816,18645
PERIPHERAL VASCULAR DISORDERS W CC,300,8343,6037
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,5983,4145
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,29388,16613
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,6847,3917
PULMONARY EDEMA & RESPIRATORY FAILURE,189,11615,8027
PULMONARY EMBOLISM W/O MCC,176,9015,6326
RED BLOOD CELL DISORDERS W MCC,811,9673,8163
RED BLOOD CELL DISORDERS W/O MCC,812,6118,4986
RENAL FAILURE W CC,683,9725,6593
RENAL FAILURE W MCC,682,12560,10584
RENAL FAILURE W/O CC/MCC,684,5522,4128
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,12204,8919
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,16680,13117
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,20461,13517
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,15183,12015
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,13951,7680
SIGNS & SYMPTOMS W/O MCC,948,7574,4269
SIMPLE PNEUMONIA & PLEURISY W CC,194,8849,6302
SIMPLE PNEUMONIA & PLEURISY W MCC,193,13741,9377
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,5866,4407
SYNCOPE & COLLAPSE,312,5811,4688
TRANSIENT ISCHEMIA,069,7188,4581
