providerName,providerNationalID,avgCoveredCharges,averagePayments
BON SECOURS HOSPITAL,210013,12158,11429
FRANKLIN SQUARE HOSPITAL CENTER,210015,10658,10076
GOOD SAMARITAN HOSPITAL,210056,9316,8774
GREATER BALTIMORE MEDICAL CENTER,210044,9243,8707
HARBOR HOSPITAL,210034,9603,9027
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,9541,9002
JOHNS HOPKINS HOSPITAL THE,210009,14688,13858
MARYLAND GENERAL  HOSPITAL,210038,13358,12557
MERCY MEDICAL CENTER INC,210008,10411,9819
SAINT AGNES HOSPITAL,210011,10109,9535
SINAI HOSPITAL OF BALTIMORE,210012,9979,9441
UNION MEMORIAL HOSPITAL,210024,10422,9807
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,14212,13367
